trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
2,272.42,buy,long,entry,0.021,0.0,-0.0010297476000000001,0.021,272.42,0.0,,1.0,-0.0010297476000000001,0.0,0.0,-0.0010297476000000001,19.9989702524,16.0591731126772,0.0,1613731770221,7.378227882470733e-07,0.99994851262,6.268518518518518e-05,0.43982183551396314,0.0,0.0,0.0
10,272.22,sel,shrt,entry,-0.021,0.0,-0.0010289916000000001,0.021,272.42,-0.021,272.22,1.0,-0.0020587392000000005,0.0,0.0,-0.0020587392000000005,19.9979412608,16.0583468324224,79340.24309841309,1613731771184,3.6891139412353663e-06,0.99989706304,7.383101851851852e-05,0.24800769124743743,0.0002675,0.0,0.0002675
108,272.69,sel,long,close,-0.021,0.005669999999999618,-0.0010307682000000001,0.0,,-0.021,272.22,289.9326504287085,0.002580492599999617,0.0,0.005669999999999618,-0.0030895074000000006,20.0025804926,16.062072135557802,1217.4193170784815,1613731899215,3.9842430565341955e-05,1.00012902463,0.0015556712962962963,1.0864688865719294,0.0,0.0,0.0
130,272.69,buy,long,entry,0.021,0.0,-0.0010307682000000001,0.021,272.69,-0.021,272.22,3.466282621903594,0.001549724399999617,0.0,0.005669999999999618,-0.004120275600000001,20.0015497244,16.0612444286932,79332.06239841308,1613731900546,4.795848123605976e-05,1.00007748622,0.0015710763888888888,1.0505549575133806,0.0,0.0,0.0
295,271.95,buy,shrt,close,0.021,0.005670000000000812,-0.0010279710000000001,0.021,272.69,-0.0,,290.7692622229242,0.00619175340000043,0.0,0.01134000000000043,-0.005148246600000001,20.0061917534,16.0649719779802,0.0,1613732033400,0.0001088288612664433,1.0003095876699999,0.003108738425925926,1.1046967464373494,0.03690388888888889,0.0,0.03690388888888889
297,271.97,sel,shrt,entry,-0.021,0.0,-0.0010280466000000001,0.021,272.69,-0.021,271.97,1.0,0.005163706800000429,0.0,0.01134000000000043,-0.0061762932,20.0051637068,16.0641464565604,79325.57026507976,1613732042115,0.00010956668405469037,1.00025818534,0.0032096064814814817,1.0837541180406238,0.03932472222222222,0.0024208333333333334,0.03932472222222222
330,271.7,buy,shrt,close,0.021,0.005670000000000812,-0.0010270260000000001,0.021,272.69,-0.0,,290.9708869118472,0.00980668080000124,0.0,0.017010000000001243,-0.007203319200000001,20.0098066808,16.0678747646824,0.0,1613732129049,0.00012174076006076709,1.00049033404,0.004215787037037037,1.123310927579325,0.06347305555555556,0.0,0.06347305555555556
336,271.62,sel,shrt,entry,-0.021,0.0,-0.0010267236000000002,0.021,272.69,-0.021,271.62,1.0,0.008779957200001241,0.0,0.017010000000001243,-0.0082300428,20.0087799572,16.067050305631604,79310.7537984131,1613732132971,0.0001239542284255083,1.0004389978600001,0.004261180555555555,1.108491391232984,0.0645625,0.0010894444444444445,0.0645625
387,271.35,buy,shrt,close,0.021,0.005669999999999618,-0.0010257030000000002,0.021,272.69,-0.0,,291.31443977006154,0.01342425420000086,0.0,0.02268000000000086,-0.0092557458,20.0134242542,16.0707796761226,0.0,1613732177986,0.00014276870952580867,1.00067121271,0.0047821875,1.1506301549434719,0.07706666666666667,0.0,0.07706666666666667
389,271.37,sel,shrt,entry,-0.021,0.0,-0.0010257786000000002,0.021,272.69,-0.021,271.37,1.0,0.012398475600000859,0.0,0.02268000000000086,-0.0102815244,20.0123984756,16.0699559759068,79304.27966507977,1613732180431,0.00014350653231405574,1.00061992378,0.004810486111111111,1.1374959720974276,0.07774583333333333,0.0006791666666666667,0.07774583333333333
421,271.1,buy,shrt,close,0.021,0.005669999999999618,-0.0010247580000000002,0.021,272.69,-0.0,,291.54935688756,0.017043717600000476,0.0,0.02835000000000048,-0.011306282400000001,20.0170437176,16.073686105232802,0.0,1613732185049,0.00015531169692600892,1.00085218588,0.0048639351851851855,1.191401580242439,0.0790286111111111,0.0,0.0790286111111111
459,270.94,sel,shrt,entry,-0.021,0.0,-0.0010241532000000002,0.021,272.69,-0.021,270.94,1.0,0.016019564400000477,0.0,0.02835000000000048,-0.012330435600000002,20.0160195644,16.072863710213202,79282.81573174642,1613732186109,0.0001693303299027033,1.00080097822,0.004876203703703704,1.1784463467525206,0.07932305555555555,0.00029444444444444445,0.07932305555555555
583,270.67,buy,shrt,close,0.021,0.005669999999999618,-0.0010231326000000002,0.021,272.69,-0.0,,291.9240217680722,0.020666431800000093,0.0,0.0340200000000001,-0.013353568200000002,20.0206664318,16.0765951447354,0.0,1613732256047,0.00021507534277402185,1.00103332159,0.005685671296296296,1.199191426321002,0.09875027777777778,0.0,0.09875027777777778
609,270.64,sel,shrt,entry,-0.021,0.0,-0.0010230192,0.021,272.69,-0.021,270.64,1.0,0.019643412600000094,0.0,0.0340200000000001,-0.014376587400000002,20.019643412599997,16.0757736603178,79272.19608174641,1613732259433,0.0002246670390212338,1.00098217063,0.005724861111111111,1.1870582101359655,0.09969083333333334,0.0009405555555555556,0.09969083333333334
698,270.37,buy,shrt,close,0.021,0.005669999999999618,-0.0010219986,0.021,272.69,-0.0,,292.2097798555497,0.024291413999999713,0.0,0.03968999999999972,-0.015398586000000002,20.024291413999997,16.079506005442,0.0,1613732349667,0.00025750015309822856,1.0012145707,0.006769236111111111,1.1963989873772942,0.12475583333333333,0.0,0.12475583333333333
760,269.98,sel,shrt,entry,-0.021,0.0,-0.0010205244000000002,0.021,272.69,-0.021,269.98,1.0,0.023270889599999713,0.0,0.03968999999999972,-0.016419110400000003,20.023270889599996,16.078686524348797,79231.5908317464,1613732355600,0.0002803726595338878,1.00116354448,0.0068379050925925925,1.185378389459216,0.1264038888888889,0.0016480555555555556,0.1264038888888889
1722,269.71,buy,shrt,close,0.021,0.005670000000000812,-0.0010195038,0.021,272.69,-0.0,,292.7767550305762,0.027921385800000524,0.0,0.04536000000000053,-0.0174386142,20.027921385799996,16.082420872797396,0.0,1613733277043,0.00063526542068073,1.00139606929,0.01750275462962963,1.0829699355414166,0.38236027777777776,0.0,0.38236027777777776
1802,269.55,sel,shrt,entry,-0.021,0.0,-0.0010188990000000002,0.021,272.69,-0.021,269.55,1.0,0.026902486800000524,0.0,0.04536000000000053,-0.0184575132,20.026902486799994,16.081602696900397,79210.16859841306,1613733281486,0.000664778332210613,1.00134512434,0.01755417824074074,1.0795837262617147,0.38359444444444446,0.0012341666666666666,0.38359444444444446
1862,269.28,buy,shrt,close,0.021,0.005670000000000812,-0.0010178784,0.021,272.69,-0.0,,293.1663334140939,0.031554608400001335,0.0,0.051030000000001345,-0.019475391600000003,20.031554608399993,16.085338350545197,0.0,1613733302560,0.0006869130158580252,1.00157773042,0.01779809027777778,1.0926175011749126,0.38944833333333334,0.0,0.38944833333333334
1870,269.29,sel,shrt,entry,-0.021,0.0,-0.0010179162,0.021,272.69,-0.021,269.29,1.0,0.030536692200001336,0.0,0.051030000000001345,-0.020493307800000003,20.030536692199995,16.084520963836596,79202.9233817464,1613733305010,0.0006898643070110135,1.0015268346100001,0.01782644675925926,1.0893537698024918,0.3901288888888889,0.0006805555555555556,0.3901288888888889
4053,272.96,sel,long,close,-0.021,0.005669999999999618,-0.0010317888000000001,0.0,,-0.021,269.29,289.1524833562164,0.035174903400000956,0.0,0.056700000000000965,-0.0215250966,20.035174903399994,16.088245447430197,1216.0496498816622,1613735502036,0.001495197880382694,1.00175874517,0.04325498842592593,1.0414606772764297,0.0,0.6109655555555555,0.6109655555555555
4080,273.09,buy,long,entry,0.021,0.0,-0.0010322802,0.021,273.09,-0.021,269.29,3.453415549262661,0.03414262320000096,0.0,0.056700000000000965,-0.0225573768,20.034142623199994,16.087416526429596,79183.89929841306,1613735503790,0.0015051584880240293,1.00170713116,0.043275289351851855,1.0402016005314514,0.0,0.6114527777777777,0.6114527777777777
