# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| AMBUSDT       | 0.002388      | 0.001423    | 0.06478      | 41.33         | 0.01668      | 0.01449     | 0.07242        | 0.9309                 | 0.005218     | 122.5   | -480179.302388 |
| IDEXUSDT      | 0.00197       | 0.001572    | 0.06414      | 34.35         | 0.01277      | 0.01061     | 0.001623       | 0.9814                 | 0.002047     | 88.5    | -480179.30197  |
| 1000PEPEUSDT  | 0.001879      | 0.003623    | 0.05772      | 53.1          | 0.01215      | 0.01105     | 0.01959        | 0.9372                 | 0.006252     | 86.31   | -480179.301879 |
| COMBOUSDT     | 0.001823      | 0.001208    | 0.06483      | 20.3          | 0.01631      | 0.01387     | 0.05793        | 0.992                  | 0.001468     | 58.5    | -480179.301823 |
| RENUSDT       | 0.00175       | 0.001522    | 0.06994      | 55.27         | 0.01836      | 0.01948     | 0.03181        | 0.8062                 | 0.01179      | 1019.71 | -480179.30175  |
| GRTUSDT       | 0.001705      | 0.003142    | 0.0687       | 59.93         | 0.01304      | 0.01898     | 0.03677        | 0.7579                 | 0.01226      | 953.71  | -480179.301705 |
| TOMOUSDT      | 0.001657      | 0.001805    | 0.06878      | 35.48         | 0.01523      | 0.01757     | 0.0451         | 0.8368                 | 0.01292      | 1020.71 | -480179.301657 |
| SOLUSDT       | 0.001654      | 0.002374    | 0.06895      | 53.4          | 0.0106       | 0.01519     | 0.02668        | 0.7688                 | 0.01049      | 1048.71 | -480179.301654 |
| NKNUSDT       | 0.001623      | 0.002268    | 0.06997      | 58.13         | 0.01354      | 0.01575     | 0.01382        | 0.8306                 | 0.01034      | 842.71  | -480179.301623 |
| DOGEUSDT      | 0.001608      | 0.003481    | 0.06857      | 66.03         | 0.008603     | 0.01337     | 0.04799        | 0.8375                 | 0.00874      | 1114.62 | -480179.301608 |
| DENTUSDT      | 0.001605      | 0.002274    | 0.06905      | 59.33         | 0.01234      | 0.01622     | 0.01049        | 0.8255                 | 0.01003      | 858.83  | -480179.301605 |
| HOTUSDT       | 0.001582      | 0.002226    | 0.0697       | 43.22         | 0.009972     | 0.01276     | 0.01441        | 0.8195                 | 0.006809     | 852.71  | -480179.301582 |
| MTLUSDT       | 0.001569      | 0.001637    | 0.06828      | 40.97         | 0.0167       | 0.01935     | 0.06903        | 0.8069                 | 0.01293      | 851.71  | -480179.301569 |
| ATOMUSDT      | 0.001565      | 0.001313    | 0.06956      | 66.75         | 0.01426      | 0.0151      | 0.02166        | 0.8902                 | 0.005807     | 1268.49 | -480179.301565 |
| RNDRUSDT      | 0.001563      | 0.002036    | 0.03751      | 55.38         | 0.01103      | 0.009809    | 0.002709       | 0.966                  | 0.002343     | 177.89  | -480179.301563 |
| BANDUSDT      | 0.00156       | 0.002009    | 0.07         | 78.38         | 0.01546      | 0.01798     | 0.01241        | 0.7942                 | 0.01124      | 1095.71 | -480179.30156  |
| LRCUSDT       | 0.001559      | 0.002018    | 0.06837      | 84.28         | 0.01136      | 0.01478     | 0.006485       | 0.8329                 | 0.009345     | 1013.7  | -480179.301559 |
| ALICEUSDT     | 0.001545      | 0.002221    | 0.06884      | 33.0          | 0.01112      | 0.01165     | 0.003195       | 0.816                  | 0.007123     | 866.87  | -480179.301545 |
| RUNEUSDT      | 0.001524      | 0.001735    | 0.06635      | 55.63         | 0.01143      | 0.01479     | 0.01541        | 0.8414                 | 0.008427     | 1058.7  | -480179.301524 |
| OMGUSDT       | 0.001512      | 0.002078    | 0.06884      | 62.08         | 0.01201      | 0.01461     | 0.0136         | 0.8899                 | 0.01016      | 1122.62 | -480179.301512 |
| WAVESUSDT     | 0.001495      | 0.00198     | 0.06907      | 29.98         | 0.0126       | 0.01711     | 0.02723        | 0.7999                 | 0.01201      | 1081.71 | -480179.301495 |
| CELRUSDT      | 0.001492      | 0.002449    | 0.06532      | 63.75         | 0.01608      | 0.01534     | 0.05869        | 0.8571                 | 0.008738     | 853.71  | -480179.301492 |
| INJUSDT       | 0.001486      | 0.001648    | 0.05416      | 23.07         | 0.01108      | 0.009323    | 0.002597       | 0.9277                 | 0.004776     | 347.88  | -480179.301486 |
| SUIUSDT       | 0.001484      | 0.0009525   | 0.05023      | 20.32         | 0.01472      | 0.01304     | 0.05161        | 0.9864                 | 0.001616     | 88.33   | -480179.301484 |
| COTIUSDT      | 0.001471      | 0.002273    | 0.06916      | 45.32         | 0.0104       | 0.01282     | 0.04397        | 0.8001                 | 0.008291     | 872.71  | -480179.301471 |
| RLCUSDT       | 0.001469      | 0.00256     | 0.06371      | 49.62         | 0.0109       | 0.01699     | 0.01005        | 0.8261                 | 0.01198      | 1093.71 | -480179.301469 |
| DGBUSDT       | 0.001461      | 0.001901    | 0.06983      | 47.05         | 0.01306      | 0.01917     | 0.04788        | 0.7685                 | 0.01233      | 830.85  | -480179.301461 |
| ALGOUSDT      | 0.001442      | 0.001653    | 0.06879      | 27.3          | 0.01158      | 0.0135      | 0.03618        | 0.8441                 | 0.007893     | 1138.62 | -480179.301442 |
| ARBUSDT       | 0.001441      | 0.001336    | 0.06089      | 49.08         | 0.007511     | 0.008419    | 0.002259       | 0.9707                 | 0.0024       | 129.37  | -480179.301441 |
| ZRXUSDT       | 0.001435      | 0.001402    | 0.06852      | 49.92         | 0.01769      | 0.0173      | 0.06236        | 0.8039                 | 0.01042      | 1130.62 | -480179.301435 |
| LINKUSDT      | 0.001435      | 0.001826    | 0.06769      | 75.82         | 0.01257      | 0.01845     | 0.01569        | 0.7719                 | 0.01135      | 1289.66 | -480179.301435 |
| CRVUSDT       | 0.001433      | 0.001505    | 0.06908      | 79.62         | 0.01373      | 0.01944     | 0.01479        | 0.7983                 | 0.01193      | 1061.71 | -480179.301433 |
| LINAUSDT      | 0.001432      | 0.001475    | 0.06976      | 59.37         | 0.01628      | 0.01998     | 0.02842        | 0.7687                 | 0.01286      | 863.71  | -480179.301432 |
| IOSTUSDT      | 0.001429      | 0.001241    | 0.06914      | 48.63         | 0.01666      | 0.01618     | 0.05753        | 0.8216                 | 0.008371     | 1254.66 | -480179.301429 |
| BELUSDT       | 0.001413      | 0.001649    | 0.0605       | 53.75         | 0.014        | 0.01602     | 0.02311        | 0.8637                 | 0.007909     | 984.71  | -480179.301413 |
| MATICUSDT     | 0.001381      | 0.002424    | 0.0668       | 48.35         | 0.01033      | 0.01546     | 0.02574        | 0.8536                 | 0.01075      | 1010.71 | -480179.301381 |
| MANAUSDT      | 0.001373      | 0.002216    | 0.05961      | 76.92         | 0.009869     | 0.01577     | 0.03393        | 0.7694                 | 0.01062      | 867.71  | -480179.301373 |
| EDUUSDT       | 0.001369      | 0.001106    | 0.05345      | 38.42         | 0.01417      | 0.01421     | 0.01915        | 0.9764                 | 0.002597     | 91.5    | -480179.301369 |
| DOTUSDT       | 0.001368      | 0.002207    | 0.06013      | 57.52         | 0.00923      | 0.01301     | 0.00589        | 0.8147                 | 0.008816     | 1071.71 | -480179.301368 |
| CHZUSDT       | 0.001367      | 0.002156    | 0.05875      | 59.3          | 0.01041      | 0.01719     | 0.009842       | 0.7639                 | 0.00932      | 920.71  | -480179.301367 |
| HOOKUSDT      | 0.001357      | 0.001895    | 0.06279      | 43.2          | 0.01079      | 0.009652    | 0.004187       | 0.9593                 | 0.003296     | 188.87  | -480179.301357 |
| RVNUSDT       | 0.001351      | 0.002231    | 0.06938      | 37.55         | 0.01066      | 0.01365     | 0.01603        | 0.8084                 | 0.008751     | 887.71  | -480179.301351 |
