# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| RNDRUSDT     | 0.00212       | 0.002668    | 0.05369      | 55.1          | 0.009725     | 0.009551    | 0.002514       | 0.9334                 | 0.005811     | 155.89  | -480179.30212  |
| AMBUSDT      | 0.002083      | 0.001617    | 0.06545      | 42.62         | 0.01192      | 0.009822    | 0.0485         | 0.9486                 | 0.005535     | 100.5   | -480179.302083 |
| BLURUSDT     | 0.002033      | 0.001993    | 0.04557      | 50.18         | 0.01086      | 0.009613    | 0.003124       | 0.9861                 | 0.001574     | 71.5    | -480179.302033 |
| GRTUSDT      | 0.001825      | 0.002826    | 0.06979      | 56.93         | 0.01289      | 0.01771     | 0.0338         | 0.7629                 | 0.01224      | 931.71  | -480179.301825 |
| HOTUSDT      | 0.001814      | 0.00242     | 0.06927      | 71.08         | 0.01071      | 0.01227     | 0.01709        | 0.8885                 | 0.007048     | 830.71  | -480179.301814 |
| DENTUSDT     | 0.00177       | 0.002319    | 0.06812      | 57.35         | 0.01278      | 0.0145      | 0.01072        | 0.8503                 | 0.008278     | 836.83  | -480179.30177  |
| HOOKUSDT     | 0.001764      | 0.00182     | 0.04917      | 30.45         | 0.011        | 0.009924    | 0.01746        | 0.9707                 | 0.002272     | 166.87  | -480179.301764 |
| IDUSDT       | 0.001756      | 0.001629    | 0.06894      | 64.77         | 0.01369      | 0.01345     | 0.01235        | 0.9655                 | 0.003876     | 107.39  | -480179.301756 |
| DOGEUSDT     | 0.00173       | 0.003539    | 0.06966      | 66.03         | 0.008664     | 0.01346     | 0.04706        | 0.8375                 | 0.008821     | 1093.62 | -480179.30173  |
| NKNUSDT      | 0.001723      | 0.002302    | 0.06986      | 58.13         | 0.01372      | 0.01592     | 0.01379        | 0.8306                 | 0.01047      | 820.71  | -480179.301723 |
