# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| YGGUSDT       | 0.04207       | 0.0132      | 0.03387      | 40.32         | 0.01885      | 0.01264     | 0.001138       | 0.9946                 | 0.004069     | 2.85    | -480179.342066 |
| WLDUSDT       | 0.005443      | 0.003475    | 0.06934      | 32.95         | 0.01417      | 0.009977    | 0.02251        | 0.9815                 | 0.003781     | 14.5    | -480179.305443 |
| AGLDUSDT      | 0.005042      | 0.003573    | 0.04503      | 21.18         | 0.007192     | 0.006606    | 0.008305       | 0.9968                 | 0.0008539    | 9.89    | -480179.305042 |
| ARKMUSDT      | 0.004717      | 0.002868    | 0.05696      | 9.067         | 0.007058     | 0.006548    | 0.003323       | 0.996                  | 0.001054     | 10.88   | -480179.304717 |
| MAVUSDT       | 0.003287      | 0.003004    | 0.05464      | 16.22         | 0.008937     | 0.007369    | 0.001142       | 0.991                  | 0.00158      | 39.5    | -480179.303287 |
| MDTUSDT       | 0.002777      | 0.002032    | 0.04979      | 28.5          | 0.01035      | 0.01194     | 0.00771        | 0.9905                 | 0.001414     | 38.5    | -480179.302777 |
| XVGUSDT       | 0.002589      | 0.001584    | 0.05808      | 20.8          | 0.01633      | 0.01265     | 0.009237       | 0.9782                 | 0.003035     | 33.5    | -480179.302589 |
| NMRUSDT       | 0.002258      | 0.001043    | 0.06421      | 24.97         | 0.007696     | 0.006732    | 0.02576        | 0.9919                 | 0.001295     | 46.5    | -480179.302258 |
| OMGUSDT       | 0.001993      | 0.002183    | 0.06959      | 61.8          | 0.01334      | 0.01632     | 0.04497        | 0.8736                 | 0.01027      | 1131.62 | -480179.301993 |
| 1000PEPEUSDT  | 0.001977      | 0.002215    | 0.05411      | 53.1          | 0.01545      | 0.01345     | 0.01614        | 0.9615                 | 0.003707     | 94.31   | -480179.301977 |
| SOLUSDT       | 0.001968      | 0.003129    | 0.0699       | 53.2          | 0.01229      | 0.0151      | 0.01023        | 0.8232                 | 0.009166     | 1056.71 | -480179.301968 |
| TOMOUSDT      | 0.001946      | 0.001786    | 0.06689      | 51.13         | 0.01615      | 0.01783     | 0.01874        | 0.8771                 | 0.009721     | 1028.71 | -480179.301946 |
| OCEANUSDT     | 0.001779      | 0.002266    | 0.06995      | 31.65         | 0.01736      | 0.01887     | 0.01708        | 0.8186                 | 0.01181      | 1006.71 | -480179.301779 |
| CELRUSDT      | 0.001768      | 0.002731    | 0.07         | 39.65         | 0.01498      | 0.01599     | 0.01162        | 0.8522                 | 0.009435     | 861.71  | -480179.301768 |
| NKNUSDT       | 0.001718      | 0.002078    | 0.06998      | 55.93         | 0.01137      | 0.01229     | 0.01299        | 0.8721                 | 0.007589     | 850.71  | -480179.301718 |
| HOTUSDT       | 0.001702      | 0.002301    | 0.06975      | 70.97         | 0.01057      | 0.01223     | 0.01917        | 0.8763                 | 0.007067     | 860.71  | -480179.301702 |
| SUIUSDT       | 0.001686      | 0.001086    | 0.06405      | 20.32         | 0.01445      | 0.01295     | 0.04098        | 0.9858                 | 0.001796     | 96.33   | -480179.301686 |
| RENUSDT       | 0.001684      | 0.001538    | 0.06999      | 55.27         | 0.01834      | 0.01943     | 0.03128        | 0.8061                 | 0.01177      | 1027.71 | -480179.301684 |
| BELUSDT       | 0.001676      | 0.001779    | 0.06633      | 53.75         | 0.01484      | 0.01951     | 0.02229        | 0.8105                 | 0.0106       | 991.71  | -480179.301676 |
| COTIUSDT      | 0.001664      | 0.003474    | 0.06947      | 40.1          | 0.01238      | 0.01858     | 0.02948        | 0.766                  | 0.01188      | 880.71  | -480179.301664 |
| RADUSDT       | 0.001652      | 0.0007048   | 0.04278      | 23.05         | 0.01316      | 0.01293     | 0.03226        | 0.9922                 | 0.001281     | 89.5    | -480179.301652 |
| GRTUSDT       | 0.001648      | 0.003129    | 0.06875      | 59.93         | 0.013        | 0.01896     | 0.03715        | 0.7577                 | 0.01225      | 960.71  | -480179.301648 |
| EGLDUSDT      | 0.001635      | 0.002249    | 0.06295      | 59.3          | 0.00932      | 0.01412     | 0.01709        | 0.8446                 | 0.008692     | 1056.71 | -480179.301635 |
| LRCUSDT       | 0.001608      | 0.002452    | 0.06651      | 28.57         | 0.01117      | 0.01266     | 0.03232        | 0.8626                 | 0.007983     | 1021.7  | -480179.301608 |
| DOGEUSDT      | 0.001604      | 0.003465    | 0.06985      | 66.03         | 0.008561     | 0.01332     | 0.04774        | 0.8375                 | 0.00871      | 1123.62 | -480179.301604 |
| COMBOUSDT     | 0.001595      | 0.00152     | 0.05806      | 28.73         | 0.01753      | 0.01444     | 0.04763        | 0.9675                 | 0.003334     | 66.5    | -480179.301595 |
| ENJUSDT       | 0.001591      | 0.001027    | 0.06812      | 79.48         | 0.01941      | 0.019       | 0.04352        | 0.8665                 | 0.008407     | 1041.71 | -480179.301591 |
| MTLUSDT       | 0.00159       | 0.001643    | 0.06957      | 40.97         | 0.01667      | 0.01929     | 0.0684         | 0.8069                 | 0.01287      | 859.71  | -480179.30159  |
| DENTUSDT      | 0.001582      | 0.00229     | 0.06997      | 57.37         | 0.01226      | 0.01616     | 0.0103         | 0.8254                 | 0.01002      | 866.83  | -480179.301582 |
| EDUUSDT       | 0.001573      | 0.001116    | 0.0698       | 18.33         | 0.01504      | 0.01402     | 0.03614        | 0.9683                 | 0.00412      | 99.5    | -480179.301573 |
| ALICEUSDT     | 0.001572      | 0.00226     | 0.06992      | 33.0          | 0.01104      | 0.01158     | 0.003294       | 0.8165                 | 0.006983     | 874.87  | -480179.301572 |
| LINKUSDT      | 0.001556      | 0.001934    | 0.06923      | 76.23         | 0.01289      | 0.01842     | 0.02251        | 0.8174                 | 0.01174      | 1298.66 | -480179.301556 |
| RNDRUSDT      | 0.00154       | 0.001591    | 0.06332      | 31.73         | 0.01332      | 0.01524     | 0.02167        | 0.9109                 | 0.008604     | 185.89  | -480179.30154  |
| BANDUSDT      | 0.001536      | 0.002002    | 0.0699       | 78.38         | 0.01537      | 0.01793     | 0.01233        | 0.7942                 | 0.01122      | 1104.71 | -480179.301536 |
| INJUSDT       | 0.001528      | 0.001792    | 0.06178      | 49.38         | 0.01311      | 0.01371     | 0.01468        | 0.9226                 | 0.006518     | 355.88  | -480179.301528 |
| WAVESUSDT     | 0.00152       | 0.002009    | 0.0685       | 29.98         | 0.01252      | 0.01713     | 0.02696        | 0.7995                 | 0.01216      | 1090.71 | -480179.30152  |
| AMBUSDT       | 0.001503      | 0.00133     | 0.06029      | 41.33         | 0.01623      | 0.01418     | 0.07429        | 0.9326                 | 0.004906     | 130.5   | -480179.301503 |
| RUNEUSDT      | 0.001496      | 0.001734    | 0.06638      | 55.63         | 0.01135      | 0.01476     | 0.01529        | 0.8409                 | 0.008418     | 1066.7  | -480179.301496 |
| ANKRUSDT      | 0.00149       | 0.002338    | 0.06987      | 41.08         | 0.01251      | 0.01831     | 0.04721        | 0.7826                 | 0.01337      | 922.71  | -480179.30149  |
| 1000FLOKIUSDT | 0.001455      | 0.001218    | 0.05691      | 21.33         | 0.0115       | 0.01155     | 0.009          | 0.9829                 | 0.001888     | 93.31   | -480179.301455 |
| RLCUSDT       | 0.001445      | 0.002547    | 0.06346      | 49.62         | 0.01085      | 0.01692     | 0.009995       | 0.8261                 | 0.01193      | 1102.71 | -480179.301445 |
| ALGOUSDT      | 0.001445      | 0.001651    | 0.06857      | 27.32         | 0.01152      | 0.01345     | 0.0358         | 0.8441                 | 0.007832     | 1147.62 | -480179.301445 |
| UNFIUSDT      | 0.001428      | 0.002447    | 0.05386      | 56.33         | 0.01753      | 0.01947     | 0.01626        | 0.8039                 | 0.01033      | 898.71  | -480179.301428 |
| SFPUSDT       | 0.001413      | 0.001535    | 0.06594      | 56.12         | 0.01644      | 0.01649     | 0.005543       | 0.8329                 | 0.00832      | 894.71  | -480179.301413 |
| MKRUSDT       | 0.001402      | 0.002124    | 0.06208      | 41.45         | 0.01056      | 0.01655     | 0.03265        | 0.7822                 | 0.01205      | 1089.71 | -480179.301402 |
| LINAUSDT      | 0.001401      | 0.001524    | 0.06976      | 59.13         | 0.01621      | 0.0198      | 0.02682        | 0.7676                 | 0.01272      | 871.71  | -480179.301401 |
| DGBUSDT       | 0.001399      | 0.0019      | 0.06989      | 47.03         | 0.013        | 0.01907     | 0.04752        | 0.7685                 | 0.01228      | 838.85  | -480179.301399 |
| IOSTUSDT      | 0.001395      | 0.001155    | 0.0678       | 48.4          | 0.01682      | 0.01679     | 0.05039        | 0.789                  | 0.008148     | 1263.66 | -480179.301395 |
| CHZUSDT       | 0.001368      | 0.002142    | 0.05848      | 59.3          | 0.01034      | 0.01711     | 0.009736       | 0.764                  | 0.009277     | 927.71  | -480179.301368 |
| DOTUSDT       | 0.001367      | 0.002197    | 0.06051      | 57.52         | 0.009161     | 0.01295     | 0.005823       | 0.8147                 | 0.008781     | 1080.71 | -480179.301367 |
| ARBUSDT       | 0.001364      | 0.001216    | 0.0482       | 40.8          | 0.006863     | 0.006942    | 0.0006853      | 0.9837                 | 0.001297     | 137.37  | -480179.301364 |
| ZRXUSDT       | 0.001354      | 0.00141     | 0.06992      | 49.92         | 0.01773      | 0.01736     | 0.06367        | 0.8036                 | 0.01064      | 1139.62 | -480179.301354 |
| MANAUSDT      | 0.001354      | 0.002217    | 0.06166      | 76.92         | 0.009851     | 0.0157      | 0.03396        | 0.7694                 | 0.0106       | 875.71  | -480179.301354 |
| HOOKUSDT      | 0.001345      | 0.001552    | 0.05544      | 43.18         | 0.01464      | 0.01394     | 0.009233       | 0.9647                 | 0.002737     | 196.87  | -480179.301345 |
| CTKUSDT       | 0.001331      | 0.002251    | 0.06298      | 60.67         | 0.0119       | 0.01195     | 0.02982        | 0.8552                 | 0.006366     | 990.71  | -480179.301331 |
| IDEXUSDT      | 0.001325      | 0.00166     | 0.06013      | 35.88         | 0.01195      | 0.01073     | 0.001268       | 0.9802                 | 0.002042     | 96.5    | -480179.301325 |
