# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| BELUSDT       | 0.0009765     | 0.001616    | 0.06544      | 83.85         | 0.0141       | 0.0156      | 0.0479         | 0.7888                 | 0.01149      | 987.71  | -480179.300976 |
| BANDUSDT      | 0.000975      | 0.002064    | 0.06883      | 83.68         | 0.0143       | 0.01352     | 0.06849        | 0.8563                 | 0.008366     | 1099.71 | -480179.300975 |
| ALICEUSDT     | 0.0009685     | 0.002322    | 0.06214      | 81.62         | 0.01194      | 0.01693     | 0.02916        | 0.8103                 | 0.01055      | 868.88  | -480179.300969 |
| RVNUSDT       | 0.0009676     | 0.00198     | 0.06574      | 81.07         | 0.01119      | 0.01596     | 0.04054        | 0.7945                 | 0.009229     | 890.71  | -480179.300968 |
| CFXUSDT       | 0.0009479     | 0.001863    | 0.05524      | 42.95         | 0.01212      | 0.01182     | 0.0407         | 0.9294                 | 0.006144     | 163.42  | -480179.300948 |
| SUIUSDT       | 0.0009389     | 0.0008342   | 0.02048      | 71.43         | 0.01529      | 0.01407     | 0.0            | 0.9944                 | 0.0008798    | 91.33   | -480179.300939 |
| ICPUSDT       | 0.0009303     | 0.001274    | 0.05761      | 62.58         | 0.006713     | 0.008499    | 0.01667        | 0.9371                 | 0.004684     | 309.92  | -480179.30093  |
| HOTUSDT       | 0.0009207     | 0.002174    | 0.05983      | 72.13         | 0.008792     | 0.01678     | 0.0821         | 0.7651                 | 0.01081      | 854.71  | -480179.300921 |
| OPUSDT        | 0.0009208     | 0.001633    | 0.06655      | 60.07         | 0.01375      | 0.01933     | 0.0739         | 0.8122                 | 0.01279      | 427.42  | -480179.300921 |
| DGBUSDT       | 0.00089       | 0.001615    | 0.06965      | 83.68         | 0.01342      | 0.01934     | 0.04203        | 0.7814                 | 0.01129      | 832.88  | -480179.30089  |
| DOTUSDT       | 0.0008844     | 0.00218     | 0.06774      | 70.98         | 0.008396     | 0.01486     | 0.01824        | 0.795                  | 0.009236     | 1075.71 | -480179.300884 |
| EGLDUSDT      | 0.0008788     | 0.002112    | 0.06423      | 64.53         | 0.009317     | 0.01636     | 0.03317        | 0.8225                 | 0.011        | 1052.71 | -480179.300879 |
| COTIUSDT      | 0.0008789     | 0.001845    | 0.06315      | 81.87         | 0.01149      | 0.01334     | 0.0355         | 0.7941                 | 0.008665     | 875.71  | -480179.300879 |
| COMBOUSDT     | 0.0008742     | 0.001559    | 0.0572       | 22.22         | 0.007819     | 0.01437     | 0.05335        | 0.9042                 | 0.009244     | 61.5    | -480179.300874 |
| COMPUSDT      | 0.0008705     | 0.001326    | 0.06605      | 82.45         | 0.01585      | 0.01793     | 0.05609        | 0.8169                 | 0.01006      | 1128.62 | -480179.30087  |
| 1000SHIBUSDT  | 0.0008671     | 0.002053    | 0.0334       | 57.53         | 0.007046     | 0.01671     | 0.004264       | 0.7603                 | 0.007889     | 814.29  | -480179.300867 |
| SUSHIUSDT     | 0.0008652     | 0.001623    | 0.04683      | 89.38         | 0.01726      | 0.01791     | 0.03424        | 0.7721                 | 0.009672     | 1062.71 | -480179.300865 |
| ATOMUSDT      | 0.0008619     | 0.001932    | 0.04698      | 66.83         | 0.007474     | 0.01559     | 0.02345        | 0.753                  | 0.007674     | 1271.5  | -480179.300862 |
| LDOUSDT       | 0.0008523     | 0.001249    | 0.06241      | 73.05         | 0.0132       | 0.01635     | 0.02101        | 0.8247                 | 0.009519     | 314.5   | -480179.300852 |
| RUNEUSDT      | 0.0008441     | 0.002688    | 0.06414      | 91.47         | 0.01093      | 0.01565     | 0.02684        | 0.8262                 | 0.00949      | 1062.71 | -480179.300844 |
| UNIUSDT       | 0.0008372     | 0.00206     | 0.0687       | 90.58         | 0.01043      | 0.01186     | 0.01817        | 0.8185                 | 0.007186     | 1048.71 | -480179.300837 |
| AAVEUSDT      | 0.0008224     | 0.001939    | 0.06118      | 95.87         | 0.01303      | 0.01476     | 0.05673        | 0.8698                 | 0.009011     | 1020.71 | -480179.300822 |
| STMXUSDT      | 0.0008202     | 0.001118    | 0.0616       | 76.22         | 0.01416      | 0.01994     | 0.08176        | 0.8008                 | 0.01236      | 862.71  | -480179.30082  |
| UNFIUSDT      | 0.0008149     | 0.001444    | 0.04962      | 75.73         | 0.01735      | 0.01988     | 0.05575        | 0.8047                 | 0.009478     | 894.71  | -480179.300815 |
| INJUSDT       | 0.0008148     | 0.001433    | 0.05435      | 64.18         | 0.009537     | 0.01163     | 0.07692        | 0.8996                 | 0.006924     | 350.92  | -480179.300815 |
| ANKRUSDT      | 0.0008056     | 0.001323    | 0.06839      | 91.17         | 0.01453      | 0.01712     | 0.05355        | 0.7865                 | 0.01184      | 918.71  | -480179.300806 |
| IMXUSDT       | 0.0008053     | 0.00145     | 0.05673      | 94.52         | 0.01456      | 0.01264     | 0.01451        | 0.9221                 | 0.005218     | 537.88  | -480179.300805 |
| LINKUSDT      | 0.0007969     | 0.001988    | 0.05617      | 92.18         | 0.009287     | 0.011       | 0.04234        | 0.8399                 | 0.006075     | 1292.67 | -480179.300797 |
| ZRXUSDT       | 0.0007954     | 0.001093    | 0.04253      | 51.57         | 0.0106       | 0.0136      | 0.04378        | 0.8257                 | 0.007772     | 1134.62 | -480179.300795 |
| CTKUSDT       | 0.0007815     | 0.002267    | 0.06992      | 95.07         | 0.01193      | 0.01878     | 0.04891        | 0.7763                 | 0.01233      | 986.71  | -480179.300782 |
| RSRUSDT       | 0.0007819     | 0.001223    | 0.03624      | 95.7          | 0.01556      | 0.01478     | 0.009408       | 0.8855                 | 0.004356     | 1017.71 | -480179.300782 |
| CHRUSDT       | 0.0007706     | 0.001732    | 0.06271      | 84.8          | 0.01296      | 0.01725     | 0.05832        | 0.7896                 | 0.01059      | 873.71  | -480179.300771 |
| ARBUSDT       | 0.0007689     | 0.001388    | 0.06277      | 48.25         | 0.008234     | 0.01549     | 0.0562         | 0.8909                 | 0.01045      | 132.38  | -480179.300769 |
| UMAUSDT       | 0.0007581     | 0.000966    | 0.05839      | 42.72         | 0.007509     | 0.01303     | 0.02698        | 0.8971                 | 0.008857     | 84.5    | -480179.300758 |
| ASTRUSDT      | 0.0007562     | 0.001207    | 0.05076      | 72.77         | 0.01038      | 0.009026    | 0.03685        | 0.956                  | 0.004096     | 169.92  | -480179.300756 |
| CRVUSDT       | 0.0007525     | 0.001615    | 0.04492      | 74.35         | 0.01183      | 0.01318     | 0.04228        | 0.8565                 | 0.007314     | 1065.71 | -480179.300753 |
| CHZUSDT       | 0.0007212     | 0.002146    | 0.06779      | 95.12         | 0.0111       | 0.0137      | 0.05773        | 0.8435                 | 0.01017      | 923.71  | -480179.300721 |
| AVAXUSDT      | 0.0007199     | 0.001849    | 0.06536      | 83.43         | 0.01411      | 0.01854     | 0.0453         | 0.7934                 | 0.01021      | 1043.71 | -480179.30072  |
| FTMUSDT       | 0.0007083     | 0.00162     | 0.03497      | 92.88         | 0.01403      | 0.01354     | 0.007048       | 0.8599                 | 0.00511      | 1042.71 | -480179.300708 |
| ICXUSDT       | 0.0007064     | 0.001363    | 0.06294      | 96.0          | 0.01252      | 0.0154      | 0.08129        | 0.7954                 | 0.0105       | 1051.71 | -480179.300706 |
| SPELLUSDT     | 0.0007025     | 0.000939    | 0.03976      | 46.8          | 0.006815     | 0.006739    | 0.002131       | 0.9451                 | 0.003083     | 330.5   | -480179.300702 |
| 1INCHUSDT     | 0.0006953     | 0.001197    | 0.04357      | 79.92         | 0.01482      | 0.01534     | 0.03845        | 0.8633                 | 0.005641     | 950.58  | -480179.300695 |
| DEFIUSDT      | 0.0006931     | 0.00153     | 0.06511      | 92.73         | 0.01185      | 0.01413     | 0.03473        | 0.8465                 | 0.008575     | 1069.71 | -480179.300693 |
| PHBUSDT       | 0.0006878     | 0.0009507   | 0.0694       | 81.98         | 0.01494      | 0.01528     | 0.04046        | 0.9191                 | 0.007395     | 167.42  | -480179.300688 |
| XLMUSDT       | 0.0006765     | 0.001665    | 0.06701      | 82.67         | 0.01045      | 0.01188     | 0.03754        | 0.8503                 | 0.006279     | 1289.67 | -480179.300677 |
| HFTUSDT       | 0.0006553     | 0.0008769   | 0.05589      | 46.52         | 0.01008      | 0.01171     | 0.05283        | 0.9196                 | 0.007654     | 118.5   | -480179.300655 |
| ONEUSDT       | 0.0006545     | 0.001579    | 0.04482      | 89.67         | 0.01185      | 0.01214     | 0.01766        | 0.8931                 | 0.005555     | 866.71  | -480179.300654 |
| KSMUSDT       | 0.0006514     | 0.001528    | 0.05475      | 89.23         | 0.01422      | 0.01505     | 0.04087        | 0.8275                 | 0.008087     | 1022.71 | -480179.300651 |
| MINAUSDT      | 0.0006476     | 0.001135    | 0.06028      | 90.93         | 0.01098      | 0.01065     | 0.01312        | 0.9147                 | 0.00579      | 176.54  | -480179.300648 |
| ZENUSDT       | 0.0006452     | 0.001565    | 0.05098      | 81.3          | 0.01483      | 0.0176      | 0.06397        | 0.8061                 | 0.009788     | 981.71  | -480179.300645 |
| CELOUSDT      | 0.0006433     | 0.0008103   | 0.05489      | 75.07         | 0.01391      | 0.01847     | 0.08871        | 0.8248                 | 0.01167      | 674.88  | -480179.300643 |
| ETCUSDT       | 0.000641      | 0.001132    | 0.04531      | 89.47         | 0.009498     | 0.0169      | 0.05601        | 0.7785                 | 0.009276     | 1293.67 | -480179.300641 |
| LEVERUSDT     | 0.0006274     | 0.0008637   | 0.06368      | 67.33         | 0.01192      | 0.01133     | 0.0            | 0.9469                 | 0.004804     | 125.5   | -480179.300627 |
| LTCUSDT       | 0.0006184     | 0.00124     | 0.04152      | 95.55         | 0.00958      | 0.01443     | 0.0267         | 0.762                  | 0.007429     | 1300.67 | -480179.300618 |
| IOSTUSDT      | 0.0006177     | 0.001303    | 0.0542       | 90.1          | 0.01221      | 0.01564     | 0.08656        | 0.8055                 | 0.009997     | 1257.67 | -480179.300618 |
| AGIXUSDT      | 0.0006113     | 0.001322    | 0.05986      | 63.48         | 0.01297      | 0.017       | 0.07901        | 0.8953                 | 0.01162      | 167.42  | -480179.300611 |
| KEYUSDT       | 0.0006108     | 0.0006453   | 0.02278      | 35.45         | 0.008701     | 0.01379     | 0.01758        | 0.893                  | 0.008607     | 70.5    | -480179.300611 |
| STGUSDT       | 0.0006091     | 0.001067    | 0.05706      | 81.98         | 0.01298      | 0.01136     | 0.007682       | 0.943                  | 0.004012     | 342.5   | -480179.300609 |
| SXPUSDT       | 0.0005937     | 0.001995    | 0.03169      | 93.68         | 0.0143       | 0.01596     | 0.008123       | 0.8671                 | 0.006449     | 1107.62 | -480179.300594 |
| AXSUSDT       | 0.0005944     | 0.001725    | 0.06096      | 87.7          | 0.01395      | 0.01682     | 0.03072        | 0.8772                 | 0.008789     | 985.71  | -480179.300594 |
| AUDIOUSDT     | 0.000586      | 0.001112    | 0.03737      | 82.07         | 0.01006      | 0.009645    | 0.027          | 0.9259                 | 0.004206     | 713.88  | -480179.300586 |
