+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| DOGEUSDT     | 0.001757      | 0.003562    | 0.06926      | 66.03         | 0.008732     | 0.01357     | 0.0468         | 0.8375                 | 0.008868     | 1078.62 | -480179.301757 |
| RNDRUSDT     | 0.002956      | 0.00277     | 0.05352      | 55.1          | 0.0101       | 0.009905    | 0.002452       | 0.9334                 | 0.006086     | 140.89  | -480179.302956 |
| CELRUSDT     | 0.001825      | 0.002565    | 0.06746      | 63.88         | 0.01639      | 0.01557     | 0.05783        | 0.8571                 | 0.008905     | 816.71  | -480179.301825 |
| STXUSDT      | 0.001778      | 0.002477    | 0.06286      | 65.7          | 0.0152       | 0.01253     | 0.01828        | 0.9451                 | 0.004835     | 122.39  | -480179.301778 |
| MATICUSDT    | 0.001382      | 0.002456    | 0.06277      | 48.35         | 0.01031      | 0.01528     | 0.02503        | 0.8544                 | 0.01054      | 974.71  | -480179.301382 |
| GRTUSDT      | 0.001641      | 0.002384    | 0.06996      | 58.73         | 0.01311      | 0.01784     | 0.04714        | 0.7629                 | 0.0124       | 916.71  | -480179.301641 |
| DENTUSDT     | 0.001739      | 0.002369    | 0.06999      | 57.37         | 0.01244      | 0.01659     | 0.009979       | 0.8242                 | 0.01028      | 821.83  | -480179.301739 |
| SOLUSDT      | 0.001654      | 0.002354    | 0.06963      | 53.4          | 0.01081      | 0.01555     | 0.0258         | 0.7695                 | 0.01079      | 1012.71 | -480179.301654 |
| COTIUSDT     | 0.001501      | 0.002338    | 0.05993      | 45.32         | 0.0103       | 0.01288     | 0.04612        | 0.8002                 | 0.008143     | 835.71  | -480179.301501 |
| EDUUSDT      | 0.001651      | 0.002333    | 0.04309      | 30.58         | 0.01215      | 0.01114     | 0.01774        | 0.9879                 | 0.001674     | 54.5    | -480179.301651 |
| MAGICUSDT    | 0.001574      | 0.002297    | 0.03562      | 57.32         | 0.009607     | 0.007993    | 0.02989        | 0.9691                 | 0.00233      | 149.87  | -480179.301574 |
| NKNUSDT      | 0.001727      | 0.002292    | 0.06913      | 58.13         | 0.01384      | 0.01594     | 0.01414        | 0.8309                 | 0.01047      | 805.71  | -480179.301727 |
| MANAUSDT     | 0.001537      | 0.00229     | 0.06126      | 76.92         | 0.01005      | 0.0161      | 0.03298        | 0.7694                 | 0.01086      | 830.71  | -480179.301537 |
| DOTUSDT      | 0.001527      | 0.00226     | 0.06115      | 57.52         | 0.009365     | 0.01323     | 0.005811       | 0.8147                 | 0.008966     | 1035.71 | -480179.301527 |
| RVNUSDT      | 0.001482      | 0.00226     | 0.06999      | 37.55         | 0.01073      | 0.01385     | 0.01622        | 0.8091                 | 0.008894     | 850.71  | -480179.301482 |
| BLURUSDT     | 0.001838      | 0.002247    | 0.06747      | 32.15         | 0.0115       | 0.01067     | 0.01887        | 0.9833                 | 0.002157     | 56.5    | -480179.301838 |
| HOOKUSDT     | 0.0018        | 0.002242    | 0.04879      | 43.17         | 0.01082      | 0.009427    | 0.01624        | 0.9599                 | 0.003193     | 151.87  | -480179.3018   |
| CHZUSDT      | 0.001467      | 0.002192    | 0.05917      | 59.3          | 0.01056      | 0.01733     | 0.01017        | 0.7641                 | 0.00934      | 883.71  | -480179.301467 |
| SUSHIUSDT    | 0.001168      | 0.002178    | 0.05648      | 48.63         | 0.01027      | 0.01201     | 0.05704        | 0.8868                 | 0.008133     | 1022.71 | -480179.301168 |
| SANDUSDT     | 0.001227      | 0.002143    | 0.06567      | 58.97         | 0.01133      | 0.01724     | 0.04366        | 0.7832                 | 0.01155      | 879.71  | -480179.301227 |
| NEARUSDT     | 0.001264      | 0.002103    | 0.06866      | 75.7          | 0.01189      | 0.01402     | 0.06304        | 0.8452                 | 0.009638     | 981.66  | -480179.301264 |
| 1000SHIBUSDT | 0.001155      | 0.002097    | 0.04921      | 78.57         | 0.01014      | 0.01811     | 0.01953        | 0.7905                 | 0.01177      | 774.26  | -480179.301155 |
| HOTUSDT      | 0.001326      | 0.00207     | 0.05353      | 28.15         | 0.00752      | 0.01321     | 0.03404        | 0.7867                 | 0.009141     | 815.71  | -480179.301326 |
| RUNEUSDT     | 0.001401      | 0.002066    | 0.06942      | 56.63         | 0.01197      | 0.01689     | 0.01621        | 0.7868                 | 0.01063      | 1022.7  | -480179.301401 |
| OPUSDT       | 0.001372      | 0.00206     | 0.05909      | 59.42         | 0.01213      | 0.0158      | 0.05078        | 0.8637                 | 0.0113       | 387.41  | -480179.301372 |
| CTKUSDT      | 0.001081      | 0.002052    | 0.06969      | 52.2          | 0.01142      | 0.01063     | 0.0124         | 0.855                  | 0.005796     | 946.71  | -480179.301081 |
| LRCUSDT      | 0.001648      | 0.00205     | 0.06902      | 84.28         | 0.01154      | 0.01498     | 0.006729       | 0.8329                 | 0.009508     | 977.7   | -480179.301648 |
| BANDUSDT     | 0.001619      | 0.002034    | 0.06982      | 78.38         | 0.01567      | 0.0182      | 0.01286        | 0.7943                 | 0.0114       | 1059.71 | -480179.301619 |
| TOMOUSDT     | 0.001882      | 0.002014    | 0.06985      | 54.6          | 0.0141       | 0.01699     | 0.04518        | 0.8518                 | 0.01122      | 984.71  | -480179.301882 |
| OMGUSDT      | 0.001492      | 0.002006    | 0.06573      | 34.47         | 0.01144      | 0.01194     | 0.03883        | 0.8663                 | 0.007671     | 1086.62 | -480179.301492 |
| FTMUSDT      | 0.001147      | 0.001936    | 0.06508      | 49.87         | 0.01504      | 0.01988     | 0.03438        | 0.7879                 | 0.01404      | 1002.71 | -480179.301147 |
| ICXUSDT      | 0.001366      | 0.00191     | 0.0633       | 23.42         | 0.01092      | 0.01152     | 0.05336        | 0.8311                 | 0.007932     | 1011.71 | -480179.301366 |
| THETAUSDT    | 0.00127       | 0.001903    | 0.06934      | 53.38         | 0.01146      | 0.01592     | 0.02226        | 0.7879                 | 0.0104       | 1122.66 | -480179.30127  |
| AAVEUSDT     | 0.001325      | 0.001879    | 0.06974      | 79.85         | 0.0142       | 0.01885     | 0.04813        | 0.8352                 | 0.01178      | 980.71  | -480179.301325 |
| ANKRUSDT     | 0.001379      | 0.001878    | 0.05747      | 66.0          | 0.0101       | 0.01102     | 0.05263        | 0.8815                 | 0.007045     | 878.71  | -480179.301379 |
| HIGHUSDT     | 0.001884      | 0.001874    | 0.03605      | 32.75         | 0.01233      | 0.01052     | 0.01154        | 0.9622                 | 0.002813     | 136.89  | -480179.301884 |
| ALICEUSDT    | 0.001505      | 0.001861    | 0.06833      | 46.85         | 0.01239      | 0.01641     | 0.007084       | 0.8141                 | 0.01012      | 829.87  | -480179.301505 |
| UNIUSDT      | 0.001346      | 0.001837    | 0.05847      | 56.15         | 0.01023      | 0.01553     | 0.02487        | 0.7832                 | 0.009609     | 1008.71 | -480179.301346 |
| AGIXUSDT     | 0.001466      | 0.001822    | 0.06104      | 52.27         | 0.01051      | 0.009413    | 0.04237        | 0.9538                 | 0.005092     | 127.4   | -480179.301466 |
| IDUSDT       | 0.001558      | 0.001806    | 0.04831      | 64.92         | 0.01279      | 0.01055     | 0.00353        | 0.9848                 | 0.001723     | 92.39   | -480179.301558 |
| EGLDUSDT     | 0.0009409     | 0.001793    | 0.06961      | 57.87         | 0.0104       | 0.01541     | 0.01238        | 0.8176                 | 0.01098      | 1012.71 | -480179.300941 |
| 1INCHUSDT    | 0.001069      | 0.001791    | 0.0642       | 66.93         | 0.01321      | 0.01891     | 0.07147        | 0.7711                 | 0.01309      | 910.58  | -480179.301069 |
| LINKUSDT     | 0.001484      | 0.001784    | 0.06586      | 75.82         | 0.01277      | 0.0187      | 0.01572        | 0.7718                 | 0.01146      | 1253.66 | -480179.301484 |
| INJUSDT      | 0.001812      | 0.001783    | 0.05864      | 49.02         | 0.01174      | 0.01124     | 0.02923        | 0.9258                 | 0.00587      | 310.88  | -480179.301812 |
| IMXUSDT      | 0.001053      | 0.001777    | 0.04344      | 44.42         | 0.01045      | 0.009842    | 0.03455        | 0.9132                 | 0.004776     | 497.85  | -480179.301053 |
