# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| 1000SHIBUSDT | 0.001266      | 0.002293    | 0.03332      | 79.27         | 0.006932     | 0.01098     | 0.0            | 0.8417                 | 0.006778     | 784.26  | -480179.301266 |
| CHZUSDT      | 0.001417      | 0.002272    | 0.06001      | 72.73         | 0.01088      | 0.01497     | 0.0            | 0.7628                 | 0.008004     | 891.71  | -480179.301417 |
| RLCUSDT      | 0.001419      | 0.002269    | 0.06046      | 83.0          | 0.01114      | 0.01836     | 0.0            | 0.7748                 | 0.01236      | 1065.71 | -480179.301419 |
| DOGEUSDT     | 0.001141      | 0.002117    | 0.0498       | 81.75         | 0.007611     | 0.01271     | 0.0            | 0.8268                 | 0.008274     | 1086.62 | -480179.301141 |
| NKNUSDT      | 0.001587      | 0.001906    | 0.06909      | 75.38         | 0.01336      | 0.01294     | 0.0            | 0.8585                 | 0.007989     | 814.71  | -480179.301587 |
| RNDRUSDT     | 0.001569      | 0.001898    | 0.06192      | 48.67         | 0.01664      | 0.01511     | 0.0            | 0.886                  | 0.009946     | 150.89  | -480179.301569 |
| HOTUSDT      | 0.0007846     | 0.001869    | 0.02976      | 59.68         | 0.006494     | 0.007356    | 0.0            | 0.9013                 | 0.003857     | 824.71  | -480179.300785 |
| SOLUSDT      | 0.001369      | 0.001848    | 0.06905      | 65.98         | 0.01507      | 0.01438     | 0.0            | 0.8394                 | 0.009123     | 1020.71 | -480179.301369 |
| ALICEUSDT    | 0.001377      | 0.001793    | 0.0649       | 93.67         | 0.01148      | 0.01585     | 0.0            | 0.8165                 | 0.01011      | 837.87  | -480179.301377 |
