+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| IMXUSDT      | 0.001456      | 0.002371    | 0.06985      | 73.9          | 0.01218      | 0.01484     | 0.07042        | 0.8812                 | 0.01155      | 490.83  | -240179.251456 |
| MANAUSDT     | 0.00142       | 0.002364    | 0.05384      | 81.62         | 0.01053      | 0.01569     | 0.02568        | 0.7441                 | 0.01017      | 823.67  | -240179.25142  |
| COCOSUSDT    | 0.0005754     | 0.002354    | 0.06721      | 37.4          | 0.01187      | 0.01148     | 0.02811        | 0.9326                 | 0.007759     | 115.38  | -240179.250575 |
| OCEANUSDT    | 0.001644      | 0.002268    | 0.06037      | 54.5          | 0.01146      | 0.01577     | 0.08649        | 0.8134                 | 0.01055      | 955.67  | -240179.251644 |
| 1INCHUSDT    | 0.0009653     | 0.002223    | 0.06493      | 72.88         | 0.009922     | 0.0173      | 0.03305        | 0.8197                 | 0.01128      | 898.54  | -240179.250965 |
| SKLUSDT      | 0.001125      | 0.002207    | 0.06872      | 91.87         | 0.01419      | 0.01838     | 0.09044        | 0.81                   | 0.01287      | 920.67  | -240179.251125 |
| STXUSDT      | 0.001807      | 0.002198    | 0.07485      | 66.12         | 0.01215      | 0.01131     | 0.01344        | 0.9049                 | 0.007574     | 115.38  | -240179.251807 |
| CTKUSDT      | 0.0007793     | 0.002193    | 0.07459      | 90.97         | 0.0106       | 0.01372     | 0.09446        | 0.8023                 | 0.009628     | 938.67  | -240179.250779 |
| CELRUSDT     | 0.001361      | 0.002156    | 0.07485      | 82.63         | 0.01424      | 0.01667     | 0.03862        | 0.7859                 | 0.0109       | 804.67  | -240179.251361 |
| ETHUSDT      | 0.001006      | 0.002154    | 0.05795      | 65.42         | 0.00713      | 0.0192      | 0.03115        | 0.6916                 | 0.0108       | 1261.96 | -240179.251006 |
| ALGOUSDT     | 0.001192      | 0.002154    | 0.05025      | 68.6          | 0.009443     | 0.008044    | 0.07396        | 0.9081                 | 0.004002     | 1090.58 | -240179.251192 |
| NEARUSDT     | 0.001074      | 0.002146    | 0.04558      | 81.65         | 0.01453      | 0.0139      | 0.04596        | 0.8369                 | 0.007714     | 970.62  | -240179.251074 |
| UNFIUSDT     | 0.001133      | 0.002079    | 0.07395      | 87.0          | 0.01707      | 0.01689     | 0.04159        | 0.8079                 | 0.01095      | 847.67  | -240179.251133 |
| SNXUSDT      | 0.001139      | 0.002068    | 0.07108      | 89.83         | 0.01313      | 0.01884     | 0.03388        | 0.8119                 | 0.01226      | 1035.67 | -240179.251139 |
| REEFUSDT     | 0.0009408     | 0.002068    | 0.03355      | 87.27         | 0.01055      | 0.0158      | 0.03617        | 0.7426                 | 0.008822     | 843.67  | -240179.250941 |
| RLCUSDT      | 0.00154       | 0.002059    | 0.0503       | 43.65         | 0.01216      | 0.01677     | 0.057          | 0.8062                 | 0.01189      | 1049.67 | -240179.25154  |
| OGNUSDT      | 0.0007382     | 0.002046    | 0.03732      | 68.28         | 0.01327      | 0.01889     | 0.06167        | 0.7856                 | 0.01046      | 806.67  | -240179.250738 |
| GALUSDT      | 0.0008259     | 0.002033    | 0.0374       | 57.9          | 0.01164      | 0.01056     | 0.0135         | 0.885                  | 0.007434     | 402.38  | -240179.250826 |
| ENJUSDT      | 0.001093      | 0.002013    | 0.04955      | 82.88         | 0.01123      | 0.01872     | 0.07074        | 0.7848                 | 0.01258      | 985.67  | -240179.251093 |
| UNIUSDT      | 0.0009511     | 0.002004    | 0.06607      | 85.83         | 0.01293      | 0.01325     | 0.04485        | 0.8076                 | 0.008216     | 1001.67 | -240179.250951 |
| BELUSDT      | 0.001356      | 0.001987    | 0.07375      | 76.57         | 0.01544      | 0.01671     | 0.06259        | 0.7847                 | 0.01287      | 935.67  | -240179.251356 |
| BCHUSDT      | 0.0006347     | 0.001936    | 0.03903      | 83.17         | 0.01089      | 0.01863     | 0.06003        | 0.6776                 | 0.01014      | 1257.96 | -240179.250635 |
| CRVUSDT      | 0.0007725     | 0.001935    | 0.05277      | 83.93         | 0.01529      | 0.01776     | 0.06978        | 0.8128                 | 0.01133      | 1017.67 | -240179.250772 |
| MKRUSDT      | 0.001447      | 0.001933    | 0.07149      | 93.97         | 0.01225      | 0.01592     | 0.03825        | 0.8386                 | 0.01056      | 1035.67 | -240179.251447 |
| KSMUSDT      | 0.001074      | 0.001931    | 0.0621       | 80.75         | 0.0143       | 0.01883     | 0.06647        | 0.7881                 | 0.01226      | 970.67  | -240179.251074 |
| EGLDUSDT     | 0.0007327     | 0.001922    | 0.05579      | 68.45         | 0.01014      | 0.01692     | 0.06874        | 0.8132                 | 0.01187      | 1004.67 | -240179.250733 |
| SFPUSDT      | 0.0007664     | 0.001869    | 0.03394      | 88.5          | 0.01268      | 0.01421     | 0.02787        | 0.8571                 | 0.007983     | 842.67  | -240179.250766 |
| OMGUSDT      | 0.00119       | 0.001859    | 0.06998      | 86.12         | 0.01322      | 0.01675     | 0.07399        | 0.795                  | 0.01146      | 1079.58 | -240179.25119  |
| XEMUSDT      | 0.0006949     | 0.001847    | 0.03956      | 93.12         | 0.009306     | 0.009826    | 0.05073        | 0.8792                 | 0.005999     | 833.67  | -240179.250695 |
| VETUSDT      | 0.0007872     | 0.001841    | 0.05162      | 74.63         | 0.0108       | 0.01383     | 0.0191         | 0.6972                 | 0.009713     | 1218.62 | -240179.250787 |
| TOMOUSDT     | 0.001333      | 0.001832    | 0.06412      | 92.17         | 0.01408      | 0.01731     | 0.09591        | 0.8188                 | 0.01082      | 977.67  | -240179.251333 |
| FTMUSDT      | 0.0008743     | 0.001824    | 0.05526      | 83.0          | 0.01763      | 0.01833     | 0.03173        | 0.7627                 | 0.009929     | 990.67  | -240179.250874 |
| OPUSDT       | 0.001109      | 0.001821    | 0.07489      | 74.52         | 0.01386      | 0.01836     | 0.09594        | 0.8145                 | 0.01346      | 380.38  | -240179.251109 |
| ARBUSDT      | 0.002437      | 0.001802    | 0.06429      | 69.83         | 0.009746     | 0.01153     | 0.06203        | 0.9189                 | 0.008833     | 80.33   | -240179.252437 |
| CFXUSDT      | 0.001613      | 0.001796    | 0.06084      | 61.92         | 0.01453      | 0.01328     | 0.008797       | 0.9345                 | 0.008        | 111.38  | -240179.251613 |
| CHRUSDT      | 0.0007098     | 0.00177     | 0.05439      | 92.0          | 0.01338      | 0.01282     | 0.03065        | 0.8498                 | 0.008041     | 821.67  | -240179.25071  |
| SANDUSDT     | 0.001091      | 0.001751    | 0.03738      | 83.25         | 0.01176      | 0.01595     | 0.08163        | 0.7721                 | 0.009623     | 871.67  | -240179.251091 |
| ZILUSDT      | 0.0007749     | 0.00175     | 0.04823      | 68.45         | 0.01051      | 0.01569     | 0.05283        | 0.8134                 | 0.01054      | 1093.58 | -240179.250775 |
