# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| GRTUSDT      | 0.001503      | 0.002678    | 0.069        | 77.97         | 0.01183      | 0.01621     | 0.04192        | 0.7534                 | 0.01158      | 937.67  | -480179.301503 |
| MATICUSDT    | 0.001495      | 0.004066    | 0.0662       | 91.12         | 0.01224      | 0.01707     | 0.04017        | 0.8095                 | 0.01145      | 995.67  | -480179.301495 |
| OCEANUSDT    | 0.001493      | 0.002297    | 0.06204      | 54.5          | 0.0115       | 0.01585     | 0.06908        | 0.8115                 | 0.01069      | 983.67  | -480179.301493 |
| ANKRUSDT     | 0.001475      | 0.002562    | 0.06969      | 75.97         | 0.01074      | 0.01543     | 0.05847        | 0.8433                 | 0.01123      | 899.67  | -480179.301475 |
| NKNUSDT      | 0.001454      | 0.002442    | 0.06551      | 91.43         | 0.01227      | 0.01368     | 0.01488        | 0.8435                 | 0.009009     | 826.67  | -480179.301454 |
| HOTUSDT      | 0.001449      | 0.003375    | 0.06998      | 63.53         | 0.009056     | 0.01483     | 0.04976        | 0.8331                 | 0.01083      | 836.67  | -480179.301449 |
| MKRUSDT      | 0.001437      | 0.001943    | 0.0693       | 83.72         | 0.01058      | 0.01145     | 0.05661        | 0.8231                 | 0.007541     | 1065.67 | -480179.301437 |
| CHZUSDT      | 0.001424      | 0.00238     | 0.03365      | 48.25         | 0.007963     | 0.009778    | 0.004562       | 0.8692                 | 0.004992     | 904.67  | -480179.301424 |
| ALPHAUSDT    | 0.001423      | 0.002884    | 0.06632      | 92.68         | 0.01455      | 0.01911     | 0.09133        | 0.7549                 | 0.01253      | 963.67  | -480179.301423 |
| YFIUSDT      | 0.001409      | 0.003901    | 0.04284      | 94.52         | 0.01016      | 0.01112     | 0.03895        | 0.8563                 | 0.00721      | 1047.67 | -480179.301409 |
| MANAUSDT     | 0.001401      | 0.002745    | 0.06917      | 81.62         | 0.01285      | 0.01406     | 0.06279        | 0.815                  | 0.0113       | 851.67  | -480179.301401 |
| AAVEUSDT     | 0.001361      | 0.00311     | 0.06939      | 75.37         | 0.01166      | 0.01948     | 0.06327        | 0.7694                 | 0.01421      | 1001.67 | -480179.301361 |
| RVNUSDT      | 0.001356      | 0.002659    | 0.06997      | 84.82         | 0.01049      | 0.01292     | 0.03595        | 0.8137                 | 0.007551     | 871.67  | -480179.301356 |
| ALGOUSDT     | 0.001336      | 0.00204     | 0.05273      | 74.92         | 0.0118       | 0.01551     | 0.06079        | 0.7853                 | 0.01044      | 1122.58 | -480179.301336 |
| CELRUSDT     | 0.001326      | 0.002523    | 0.06972      | 84.35         | 0.01321      | 0.01988     | 0.03047        | 0.7642                 | 0.01293      | 837.67  | -480179.301326 |
| LQTYUSDT     | 0.001323      | 0.001744    | 0.06987      | 72.15         | 0.01374      | 0.01496     | 0.08554        | 0.8777                 | 0.01088      | 127.46  | -480179.301323 |
| XRPUSDT      | 0.001323      | 0.002704    | 0.05907      | 63.98         | 0.007615     | 0.009665    | 0.09239        | 0.7757                 | 0.007045     | 1284.62 | -480179.301323 |
| MTLUSDT      | 0.001309      | 0.001731    | 0.05835      | 93.43         | 0.01588      | 0.01995     | 0.07283        | 0.8114                 | 0.01207      | 835.67  | -480179.301309 |
| ARBUSDT      | 0.001306      | 0.001674    | 0.05171      | 49.08         | 0.009333     | 0.0198      | 0.06483        | 0.885                  | 0.01277      | 114.33  | -480179.301306 |
| COTIUSDT     | 0.001278      | 0.002317    | 0.06857      | 81.92         | 0.01305      | 0.01429     | 0.03881        | 0.8016                 | 0.008998     | 856.67  | -480179.301278 |
| FETUSDT      | 0.00127       | 0.00193     | 0.03374      | 50.6          | 0.01114      | 0.007544    | 0.0            | 0.9722                 | 0.001764     | 179.88  | -480179.30127  |
| SXPUSDT      | 0.001265      | 0.004119    | 0.04096      | 83.12         | 0.01108      | 0.01134     | 0.08453        | 0.8504                 | 0.006471     | 1088.58 | -480179.301265 |
| STXUSDT      | 0.001263      | 0.002051    | 0.04466      | 66.5          | 0.01289      | 0.01105     | 0.0001608      | 0.9637                 | 0.002965     | 144.38  | -480179.301263 |
| AVAXUSDT     | 0.001249      | 0.002536    | 0.03641      | 72.68         | 0.007566     | 0.0128      | 0.01393        | 0.8602                 | 0.00806      | 1024.67 | -480179.301249 |
| 1000SHIBUSDT | 0.001247      | 0.003085    | 0.059        | 93.52         | 0.009297     | 0.01409     | 0.064          | 0.7801                 | 0.009519     | 796.25  | -480179.301247 |
| IDUSDT       | 0.001247      | 0.001638    | 0.06518      | 39.72         | 0.01599      | 0.01201     | 0.03355        | 0.9174                 | 0.009106     | 114.38  | -480179.301247 |
| ZILUSDT      | 0.001206      | 0.002464    | 0.04917      | 50.35         | 0.008522     | 0.01359     | 0.03223        | 0.7803                 | 0.008359     | 1120.58 | -480179.301206 |
| BLURUSDT     | 0.001204      | 0.001958    | 0.04692      | 43.47         | 0.007368     | 0.005968    | 0.0            | 0.9852                 | 0.001815     | 78.46   | -480179.301204 |
