trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
30364,11.651,buy,long,entry,3.3,0.0,-0.006920694,3.3,11.651,0.0,,1.0,29.989779306,-0.006920694,0.0,0.0,-0.006920694,29.993079306,2.577654013169928,1613648116443.0,0.0071570518433698395,0.00011003748864998115,0.9996593102,0.1911422222222222,0.998218895333304,0.0,0.0,0.0
33783,11.744,sel,long,close,-3.3,0.3068999999999999,-0.006975935999999999,0.0,,0.0,,0.7805504841503552,30.293003369999997,0.2930033699999999,0.0,0.3068999999999999,-0.01389663,30.293003369999997,0.0,1613649520691.0,0.007962939086568413,0.0,1.009766779,0.2073950925925926,1.0479796191435196,0.0,0.0,0.0
33977,11.622,buy,long,entry,3.4,0.0,-0.007112664,3.4,11.622,0.0,,1.0,30.279090705999995,0.2858907059999999,0.0,0.3068999999999999,-0.021009294,30.285890705999996,2.7307697046987824,1613649662091.0,0.008008666528855783,0.00022457741766513655,1.0093030235333331,0.20903166666666667,1.0452954670595023,0.0,0.0,0.0
34037,11.715,sel,long,close,-3.4,0.31619999999999987,-0.00716958,0.0,,0.0,,0.7669196223370791,30.594921125999996,0.5949211259999998,0.0,0.6230999999999998,-0.028178874,30.594921125999996,0.0,1613649670178.0,0.008022809036779713,0.0,1.0198307041999999,0.2091252662037037,1.0984487122869437,0.0,0.0,0.0
34852,11.622,buy,long,entry,3.4,0.0,-0.007112664,3.4,11.622,0.0,,1.0,30.584408461999995,0.5878084619999998,0.0,0.6230999999999998,-0.035291538,30.587808461999995,2.641434352586107,1613650134386.0,0.008214911436079754,0.00011116775412620965,1.0194802820666664,0.21449804398148148,1.0941138175351113,0.0,0.0,0.0
36497,11.715,sel,long,close,-3.4,0.31619999999999987,-0.00716958,0.0,,0.0,,0.7745446950677615,30.896838881999994,0.8968388819999997,0.0,0.9392999999999996,-0.042461118,30.896838881999994,0.0,1613651703649.0,0.008602651861660817,0.0,1.0298946293999998,0.2326608101851852,1.1349709268574957,0.0,0.0,0.0
41198,11.62,buy,long,entry,3.4,0.0,-0.007111439999999999,3.4,11.62,0.0,,1.0,30.872727442,0.8897274419999998,0.0,0.9392999999999996,-0.049572557999999996,30.889727441999995,2.5500865658657834,1613656550734.0,0.009710717357500679,0.0005506478179465511,1.0290909147333334,0.28876133101851853,1.1044044736744523,0.0,0.0,0.0
41777,11.713,sel,long,close,-3.4,0.31619999999999987,-0.007168356,0.0,,0.0,,0.7823601121562018,31.198759085999995,1.1987590859999997,0.0,1.2554999999999994,-0.056740913999999996,31.198759085999995,0.0,1613657187025.0,0.009847192558966598,0.0,1.0399586362,0.2961258101851852,1.1414641742648737,0.0,0.0,0.0
45937,11.626,buy,long,entry,3.5,0.0,-0.007324379999999999,3.5,11.626,0.0,,1.0,31.187934705999997,1.1914347059999997,0.0,1.2554999999999994,-0.064065294,31.191434705999995,2.7305447812589825,1613661166341.0,0.010827739775025698,0.00011222288468256962,1.0395978235333332,0.3421827083333333,1.1201794255442539,0.0,0.0,0.0
48333,11.719,sel,long,close,-3.5,0.3254999999999999,-0.007382970000000001,0.0,,0.0,,0.7670183633738069,31.509551735999995,1.5095517359999997,0.0,1.5809999999999993,-0.071448264,31.509551735999995,0.0,1613664054019.0,0.011392497258121276,0.0,1.0503183911999998,0.37560490740740743,1.1396312627806937,0.0,0.0,0.0
52335,11.613,buy,long,entry,3.5,0.0,-0.00731619,3.5,11.613,0.0,,1.0,31.495235545999996,1.5022355459999996,0.0,1.5809999999999993,-0.078764454,31.502235545999994,2.6281300528887623,1613667959645.0,0.012335802536647364,0.000222255838975204,1.0498411848666664,0.420808912037037,1.122529130936976,0.0,0.0,0.0
52485,11.706,sel,long,close,-3.5,0.3254999999999999,-0.00737478,0.0,,0.0,,0.7755653242622748,31.820360765999993,1.8203607659999994,0.0,1.9064999999999992,-0.086139234,31.820360765999993,0.0,1613668094673.0,0.012371158806457186,0.0,1.0606786921999998,0.4223717361111111,1.1496664733787743,0.0,0.0,0.0
53069,11.611,buy,long,entry,3.6,0.0,-0.007523928000000002,3.6,11.611,0.0,,1.0,31.791236837999993,1.8128368379999995,0.0,1.9064999999999992,-0.093663162,31.812836837999992,2.790845954057683,1613669253036.0,0.012508812550250098,0.0006794325150061783,1.0597078945999998,0.4357787152777778,1.1423410348788525,0.0,0.0,0.0
