+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| LRCUSDT      | 0.002406                  | 44.15         | 0.01522          | 0.02597         | 0.2548            | 0.8346                       | 0.0195          | 904.7   | -36007.002406087006 |
| SOLUSDT      | 0.002399                  | 37.58         | 0.01117          | 0.01359         | 0.192             | 0.933                        | 0.01024         | 939.71  | -36007.00239902633  |
| ZENUSDT      | 0.002381                  | 30.72         | 0.01929          | 0.02137         | 0.1197            | 0.8582                       | 0.01648         | 868.71  | -36007.002381250844 |
| ANKRUSDT     | 0.002329                  | 77.15         | 0.01436          | 0.02432         | 0.209             | 0.8554                       | 0.02002         | 805.71  | -36007.00232896005  |
| HOTUSDT      | 0.002302                  | 64.73         | 0.01095          | 0.01761         | 0.2626            | 0.9486                       | 0.01387         | 742.71  | -36007.00230216666  |
| ATOMUSDT     | 0.00225                   | 65.62         | 0.01161          | 0.02686         | 0.184             | 0.8842                       | 0.01659         | 1159.49 | -36007.002249918005 |
| ANTUSDT      | 0.002198                  | 28.88         | 0.0119           | 0.025           | 0.1551            | 0.88                         | 0.01567         | 470.83  | -36007.00219787037  |
| ARPAUSDT     | 0.00215                   | 23.13         | 0.009993         | 0.01642         | 0.2094            | 0.8931                       | 0.01287         | 539.85  | -36007.002150355635 |
| CTKUSDT      | 0.002135                  | 57.65         | 0.01283          | 0.02815         | 0.2919            | 0.8844                       | 0.01754         | 873.71  | -36007.00213526751  |
| IOTXUSDT     | 0.002118                  | 24.35         | 0.0189           | 0.02903         | 0.2145            | 0.8229                       | 0.02466         | 607.85  | -36007.002118090866 |
| FLOWUSDT     | 0.002086                  | 66.72         | 0.01347          | 0.01264         | 0.258             | 0.9638                       | 0.006559        | 425.85  | -36007.002086493245 |
| IOTAUSDT     | 0.002065                  | 57.82         | 0.0172           | 0.01791         | 0.1497            | 0.8833                       | 0.00998         | 1154.66 | -36007.002064820364 |
| FTMUSDT      | 0.002021                  | 47.37         | 0.02638          | 0.0269          | 0.1294            | 0.8332                       | 0.01731         | 929.71  | -36007.002021356864 |
| MANAUSDT     | 0.002007                  | 76.98         | 0.01663          | 0.02897         | 0.09088           | 0.8627                       | 0.02037         | 757.71  | -36007.00200721419  |
| XRPUSDT      | 0.001992                  | 45.92         | 0.008949         | 0.02085         | 0.2503            | 0.8581                       | 0.0138          | 1191.65 | -36007.001992422796 |
| ALGOUSDT     | 0.001957                  | 47.33         | 0.01148          | 0.01714         | 0.2453            | 0.9425                       | 0.01045         | 1029.62 | -36007.00195729121  |
| OMGUSDT      | 0.001951                  | 63.63         | 0.01597          | 0.0246          | 0.2496            | 0.8958                       | 0.01695         | 1013.62 | -36007.001950748905 |
| SKLUSDT      | 0.001945                  | 56.42         | 0.02062          | 0.02894         | 0.2782            | 0.8707                       | 0.02405         | 854.68  | -36007.00194503834  |
| MKRUSDT      | 0.001913                  | 78.47         | 0.01049          | 0.02056         | 0.2419            | 0.9544                       | 0.01187         | 971.71  | -36007.00191337349  |
| API3USDT     | 0.001908                  | 81.92         | 0.01175          | 0.01259         | 0.1713            | 0.9501                       | 0.007305        | 413.85  | -36007.00190807965  |
| GMTUSDT      | 0.001904                  | 24.0          | 0.01221          | 0.01334         | 0.1411            | 0.9381                       | 0.01021         | 392.83  | -36007.00190394044  |
| DENTUSDT     | 0.001887                  | 56.4          | 0.01722          | 0.02373         | 0.1307            | 0.857                        | 0.01817         | 748.83  | -36007.00188712336  |
| REEFUSDT     | 0.001867                  | 53.13         | 0.018            | 0.02727         | 0.2302            | 0.8777                       | 0.01866         | 778.7   | -36007.00186652955  |
| LPTUSDT      | 0.001856                  | 67.88         | 0.01887          | 0.02415         | 0.2812            | 0.9078                       | 0.01595         | 516.85  | -36007.001855675306 |
