+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| SOLUSDT   | 0.002902                  | 81.62         | 0.009869         | 0.01515         | 0.2222            | 0.9093                       | 0.009834        | 908.71  | -56012.50290164947  |
| OCEANUSDT | 0.002483                  | 87.9          | 0.01837          | 0.0176          | 0.2268            | 0.8628                       | 0.009003        | 858.71  | -56012.50248335097  |
| CHZUSDT   | 0.002371                  | 67.55         | 0.009462         | 0.01938         | 0.2227            | 0.8747                       | 0.00948         | 779.71  | -56012.50237139627  |
| UNFIUSDT  | 0.002335                  | 76.37         | 0.01622          | 0.01868         | 0.2412            | 0.8787                       | 0.009637        | 750.71  | -56012.50233544012  |
| HBARUSDT  | 0.002328                  | 82.0          | 0.01028          | 0.01471         | 0.1382            | 0.8801                       | 0.009247        | 724.71  | -56012.50232803573  |
| HOTUSDT   | 0.002144                  | 69.88         | 0.01549          | 0.01972         | 0.2661            | 0.8811                       | 0.009514        | 711.71  | -56012.502143995574 |
| HNTUSDT   | 0.002134                  | 49.07         | 0.01073          | 0.01677         | 0.09901           | 0.8892                       | 0.009885        | 894.71  | -56012.50213436331  |
| DOGEUSDT  | 0.002129                  | 53.77         | 0.006412         | 0.01443         | 0.1002            | 0.8915                       | 0.007829        | 974.62  | -56012.502128682376 |
| MKRUSDT   | 0.002041                  | 87.62         | 0.009201         | 0.01575         | 0.2167            | 0.9053                       | 0.009698        | 940.71  | -56012.50204119313  |
| BANDUSDT  | 0.001978                  | 88.12         | 0.01294          | 0.01594         | 0.08353           | 0.8611                       | 0.008252        | 955.71  | -56012.50197782967  |
| WAVESUSDT | 0.001915                  | 81.3          | 0.01235          | 0.01996         | 0.1729            | 0.838                        | 0.009291        | 941.71  | -56012.50191460618  |
| SUSHIUSDT | 0.001895                  | 61.57         | 0.008791         | 0.01558         | 0.2052            | 0.8544                       | 0.008963        | 918.71  | -56012.50189496159  |
| SANDUSDT  | 0.001892                  | 69.65         | 0.009028         | 0.01598         | 0.2376            | 0.8062                       | 0.00788         | 775.71  | -56012.50189246495  |
| GRTUSDT   | 0.001874                  | 79.88         | 0.01412          | 0.01471         | 0.2565            | 0.8872                       | 0.009929        | 812.71  | -56012.50187431711  |
| MANAUSDT  | 0.0018                    | 75.62         | 0.008593         | 0.01864         | 0.232             | 0.8864                       | 0.009981        | 726.71  | -56012.50179999511  |
| RVNUSDT   | 0.001786                  | 78.43         | 0.01224          | 0.01699         | 0.1459            | 0.8996                       | 0.00984         | 746.71  | -56012.5017863714   |
| SKLUSDT   | 0.001775                  | 84.88         | 0.01308          | 0.01387         | 0.2446            | 0.883                        | 0.008228        | 823.71  | -56012.501774513876 |
| REEFUSDT  | 0.00177                   | 90.15         | 0.01245          | 0.01434         | 0.2455            | 0.8729                       | 0.007422        | 747.71  | -56012.50177020264  |
| NKNUSDT   | 0.001742                  | 86.25         | 0.01709          | 0.01964         | 0.1444            | 0.8563                       | 0.009992        | 701.71  | -56012.50174248079  |
| YFIUSDT   | 0.001711                  | 81.33         | 0.0102           | 0.01263         | 0.2613            | 0.8652                       | 0.009509        | 922.71  | -56012.50171081218  |
| ALGOUSDT  | 0.001689                  | 75.25         | 0.01219          | 0.01648         | 0.1964            | 0.8171                       | 0.009976        | 998.62  | -56012.50168881629  |
| ALPHAUSDT | 0.001671                  | 79.7          | 0.01806          | 0.01943         | 0.1561            | 0.895                        | 0.009997        | 838.71  | -56012.501670998376 |
| MATICUSDT | 0.001671                  | 87.18         | 0.01073          | 0.01386         | 0.2718            | 0.847                        | 0.008823        | 870.71  | -56012.50167094389  |
| THETAUSDT | 0.001579                  | 68.08         | 0.009645         | 0.01499         | 0.244             | 0.8778                       | 0.008002        | 1018.67 | -56012.50157923289  |
| AXSUSDT   | 0.001576                  | 88.38         | 0.01805          | 0.01882         | 0.1975            | 0.8255                       | 0.00928         | 841.71  | -56012.501576172945 |
| ATOMUSDT  | 0.001574                  | 72.55         | 0.008156         | 0.02093         | 0.0863            | 0.7519                       | 0.009884        | 1128.5  | -56012.5015737287   |
| DEFIUSDT  | 0.001569                  | 91.03         | 0.01438          | 0.01706         | 0.05657           | 0.9044                       | 0.009076        | 925.71  | -56012.50156909386  |
| CHRUSDT   | 0.001563                  | 82.93         | 0.01669          | 0.01784         | 0.1519            | 0.9368                       | 0.008523        | 729.71  | -56012.50156286635  |
| UNIUSDT   | 0.001542                  | 83.57         | 0.01136          | 0.01507         | 0.1382            | 0.8947                       | 0.009221        | 904.71  | -56012.50154207554  |
| ANKRUSDT  | 0.001536                  | 81.92         | 0.01074          | 0.01429         | 0.1838            | 0.883                        | 0.008991        | 774.71  | -56012.50153565877  |
| ALICEUSDT | 0.001517                  | 94.87         | 0.01227          | 0.01716         | 0.1875            | 0.8531                       | 0.008925        | 725.88  | -56012.50151664937  |
| RLCUSDT   | 0.001446                  | 66.4          | 0.01285          | 0.01552         | 0.2696            | 0.8068                       | 0.00737         | 953.71  | -56012.50144610647  |
| DOTUSDT   | 0.001441                  | 72.72         | 0.008652         | 0.01328         | 0.234             | 0.9112                       | 0.008022        | 931.71  | -56012.50144119993  |
| AVAXUSDT  | 0.00144                   | 92.0          | 0.0112           | 0.01751         | 0.1607            | 0.8465                       | 0.008357        | 899.71  | -56012.501439869826 |
| COTIUSDT  | 0.001428                  | 81.9          | 0.01241          | 0.01487         | 0.07909           | 0.9231                       | 0.008447        | 731.71  | -56012.50142761826  |
| CTKUSDT   | 0.001422                  | 90.4          | 0.01065          | 0.01123         | 0.2506            | 0.8629                       | 0.005786        | 842.71  | -56012.50142201973  |
| BELUSDT   | 0.001418                  | 59.78         | 0.01315          | 0.01554         | 0.1895            | 0.8868                       | 0.009468        | 843.71  | -56012.50141795997  |
| LRCUSDT   | 0.001407                  | 83.15         | 0.009713         | 0.01695         | 0.08275           | 0.8764                       | 0.009041        | 873.71  | -56012.50140674776  |
| XRPUSDT   | 0.001383                  | 78.02         | 0.009566         | 0.01218         | 0.1424            | 0.7799                       | 0.008052        | 1160.67 | -56012.50138285353  |
| AAVEUSDT  | 0.001375                  | 76.38         | 0.01515          | 0.01497         | 0.2551            | 0.8196                       | 0.007606        | 876.71  | -56012.50137520523  |
| ENJUSDT   | 0.001356                  | 94.83         | 0.01559          | 0.0165          | 0.02425           | 0.9138                       | 0.008202        | 893.71  | -56012.50135557985  |
| CELRUSDT  | 0.001354                  | 86.73         | 0.01807          | 0.0173          | 0.2089            | 0.9279                       | 0.007522        | 712.71  | -56012.50135428243  |
| FTMUSDT   | 0.001297                  | 95.42         | 0.01755          | 0.01989         | 0.206             | 0.832                        | 0.009585        | 898.71  | -56012.50129737673  |
| KSMUSDT   | 0.001293                  | 69.33         | 0.01213          | 0.01504         | 0.235             | 0.8857                       | 0.007989        | 878.71  | -56012.501292928515 |
| ONEUSDT   | 0.001291                  | 89.72         | 0.01065          | 0.01368         | 0.1164            | 0.91                         | 0.007976        | 723.71  | -56012.50129100305  |
| LINKUSDT  | 0.001291                  | 85.02         | 0.01039          | 0.01314         | 0.2208            | 0.824                        | 0.008879        | 1149.67 | -56012.501290536864 |
| RSRUSDT   | 0.001236                  | 84.38         | 0.01814          | 0.01621         | 0.1024            | 0.9097                       | 0.005362        | 873.71  | -56012.50123573835  |
| DENTUSDT  | 0.001234                  | 82.42         | 0.01199          | 0.01307         | 0.1733            | 0.8707                       | 0.005891        | 717.83  | -56012.50123409084  |
| ZILUSDT   | 0.001231                  | 75.87         | 0.00847          | 0.01084         | 0.2313            | 0.8721                       | 0.005832        | 996.62  | -56012.50123147183  |
| ETCUSDT   | 0.001227                  | 90.52         | 0.01008          | 0.0183          | 0.1545            | 0.7706                       | 0.009858        | 1150.67 | -56012.50122695601  |
| BALUSDT   | 0.001188                  | 81.98         | 0.01368          | 0.01493         | 0.2484            | 0.8913                       | 0.007594        | 921.71  | -56012.50118832989  |
| ZRXUSDT   | 0.001175                  | 82.62         | 0.01581          | 0.01921         | 0.1087            | 0.8753                       | 0.01            | 990.62  | -56012.50117473918  |
| 1INCHUSDT | 0.001172                  | 87.92         | 0.01312          | 0.0151          | 0.1561            | 0.8997                       | 0.008736        | 806.58  | -56012.50117192927  |
| EOSUSDT   | 0.00117                   | 89.65         | 0.01109          | 0.0147          | 0.1658            | 0.8495                       | 0.007713        | 1158.67 | -56012.50117024459  |
| TOMOUSDT  | 0.001159                  | 88.87         | 0.01394          | 0.01594         | 0.2386            | 0.9069                       | 0.007042        | 880.71  | -56012.50115909142  |
| ICXUSDT   | 0.001152                  | 63.13         | 0.01293          | 0.01627         | 0.1485            | 0.8809                       | 0.009168        | 907.71  | -56012.50115229016  |
| ADAUSDT   | 0.001144                  | 67.1          | 0.009019         | 0.0189          | 0.2429            | 0.7396                       | 0.009515        | 1135.67 | -56012.501144197595 |
| EGLDUSDT  | 0.001143                  | 74.02         | 0.01549          | 0.01853         | 0.1369            | 0.8938                       | 0.009716        | 908.71  | -56012.501143133195 |
| ZENUSDT   | 0.001126                  | 94.97         | 0.0197           | 0.02152         | 0.163             | 0.8765                       | 0.009757        | 837.71  | -56012.50112638067  |
| VETUSDT   | 0.001099                  | 57.85         | 0.006556         | 0.02081         | 0.1517            | 0.7018                       | 0.009512        | 1121.67 | -56012.50109946419  |
| MTLUSDT   | 0.001078                  | 80.15         | 0.0146           | 0.01659         | 0.1454            | 0.879                        | 0.00958         | 710.71  | -56012.50107846713  |
| OMGUSDT   | 0.001075                  | 75.23         | 0.01263          | 0.0168          | 0.2265            | 0.8713                       | 0.009997        | 982.62  | -56012.50107536408  |
| LITUSDT   | 0.001073                  | 85.17         | 0.02063          | 0.02177         | 0.2623            | 0.8387                       | 0.009223        | 751.71  | -56012.50107345964  |
| XTZUSDT   | 0.00105                   | 94.68         | 0.01168          | 0.0175          | 0.2489            | 0.8043                       | 0.008721        | 1129.67 | -56012.50104968659  |
| STORJUSDT | 0.001039                  | 75.15         | 0.01403          | 0.01557         | 0.08014           | 0.9148                       | 0.007964        | 906.71  | -56012.50103905286  |
| OGNUSDT   | 0.001031                  | 52.75         | 0.01212          | 0.01656         | 0.09565           | 0.8981                       | 0.008033        | 709.71  | -56012.50103115724  |
| RUNEUSDT  | 0.001024                  | 71.28         | 0.01128          | 0.01928         | 0.04101           | 0.9149                       | 0.009656        | 918.71  | -56012.501023762    |
| ZECUSDT   | 0.00102                   | 93.57         | 0.01107          | 0.02084         | 0.1316            | 0.7829                       | 0.00985         | 1130.67 | -56012.50102001586  |
| DGBUSDT   | 0.001017                  | 83.23         | 0.01567          | 0.01899         | 0.2062            | 0.8746                       | 0.009936        | 689.88  | -56012.501017054194 |
| COMPUSDT  | 0.0009939                 | 89.37         | 0.01651          | 0.01888         | 0.07896           | 0.8726                       | 0.009944        | 984.62  | -56012.50099386125  |
| SNXUSDT   | 0.0009829                 | 90.23         | 0.01568          | 0.01719         | 0.157             | 0.8801                       | 0.008827        | 939.71  | -56012.500982860365 |
| BNBUSDT   | 0.0009761                 | 91.2          | 0.006529         | 0.00841         | 0.2452            | 0.8419                       | 0.004063        | 1125.67 | -56012.5009761367   |
| CRVUSDT   | 0.0009591                 | 85.68         | 0.01666          | 0.01642         | 0.2303            | 0.9188                       | 0.008721        | 921.71  | -56012.500959111756 |
| XLMUSDT   | 0.0009541                 | 90.22         | 0.01096          | 0.01776         | 0.2714            | 0.8773                       | 0.005774        | 1146.67 | -56012.50095407493  |
| LTCUSDT   | 0.0009417                 | 92.65         | 0.01115          | 0.01845         | 0.2152            | 0.7743                       | 0.009348        | 1157.67 | -56012.50094173309  |
| FILUSDT   | 0.0009218                 | 94.65         | 0.01537          | 0.01826         | 0.2423            | 0.8369                       | 0.009884        | 876.75  | -56012.50092181194  |
| RENUSDT   | 0.0009199                 | 89.98         | 0.02452          | 0.01915         | 0.2494            | 0.9051                       | 0.004412        | 879.71  | -56012.500919910235 |
| IOSTUSDT  | 0.0008928                 | 90.12         | 0.01256          | 0.0169          | 0.1028            | 0.8803                       | 0.008672        | 1114.67 | -56012.500892761425 |
| KAVAUSDT  | 0.0008885                 | 96.0          | 0.01726          | 0.02349         | 0.2611            | 0.8638                       | 0.009998        | 956.71  | -56012.50088850518  |
| LINAUSDT  | 0.0008885                 | 89.75         | 0.01475          | 0.01428         | 0.1374            | 0.9183                       | 0.007344        | 722.71  | -56012.50088849985  |
| XEMUSDT   | 0.0008809                 | 89.92         | 0.009567         | 0.01166         | 0.03927           | 0.8824                       | 0.007028        | 738.71  | -56012.50088087357  |
| NEARUSDT  | 0.0008594                 | 90.38         | 0.02009          | 0.01824         | 0.03476           | 0.9238                       | 0.00634         | 877.67  | -56012.500859397114 |
| BLZUSDT   | 0.000832                  | 95.27         | 0.02231          | 0.02305         | 0.03723           | 0.925                        | 0.008024        | 905.71  | -56012.500832041376 |
| QTUMUSDT  | 0.0007959                 | 90.83         | 0.01526          | 0.01571         | 0.05046           | 0.8805                       | 0.004393        | 1115.67 | -56012.5007958668   |
| XMRUSDT   | 0.0007937                 | 90.43         | 0.01123          | 0.01796         | 0.2382            | 0.7942                       | 0.009932        | 1132.67 | -56012.50079371319  |
| ETHUSDT   | 0.0007787                 | 87.18         | 0.01009          | 0.01089         | 0.1625            | 0.8879                       | 0.006691        | 1166.0  | -56012.50077874184  |
| SFPUSDT   | 0.0007741                 | 92.0          | 0.0187           | 0.01973         | 0.2526            | 0.8581                       | 0.006961        | 745.71  | -56012.50077414347  |
| STMXUSDT  | 0.000741                  | 95.38         | 0.0204           | 0.0217          | 0.08945           | 0.8901                       | 0.009645        | 719.71  | -56012.500741005075 |
| SXPUSDT   | 0.0007296                 | 76.45         | 0.01131          | 0.01387         | 0.2409            | 0.8822                       | 0.00591         | 963.62  | -56012.50072959544  |
| BCHUSDT   | 0.0007154                 | 92.68         | 0.009956         | 0.01254         | 0.1734            | 0.7949                       | 0.00652         | 1166.0  | -56012.50071541357  |
| BATUSDT   | 0.0006838                 | 82.5          | 0.01276          | 0.01244         | 0.01137           | 0.9379                       | 0.003771        | 1122.67 | -56012.50068380142  |
| IOTAUSDT  | 0.0006068                 | 86.98         | 0.01408          | 0.02194         | 0.0872            | 0.7933                       | 0.009995        | 1123.67 | -56012.50060675775  |
| KNCUSDT   | 0.0005593                 | 89.9          | 0.01322          | 0.01852         | 0.1259            | 0.9005                       | 0.005773        | 992.67  | -56012.500559298336 |
| DASHUSDT  | 0.0005095                 | 93.82         | 0.01022          | 0.02073         | 0.1967            | 0.7586                       | 0.008355        | 1131.67 | -56012.50050954003  |
| NEOUSDT   | 0.0005009                 | 63.67         | 0.00907          | 0.01452         | 0.1789            | 0.8755                       | 0.006794        | 1118.67 | -56012.50050088676  |
| BTCUSDT   | 0.0004758                 | 84.47         | 0.006576         | 0.006449        | 0.1125            | 0.947                        | 0.002687        | 1166.0  | -56012.5004757569   |
| TRXUSDT   | 0.0004613                 | 90.0          | 0.008044         | 0.01959         | 0.2358            | 0.8012                       | 0.009802        | 1151.67 | -56012.500461275966 |
| FLMUSDT   | 0.0004034                 | 90.08         | 0.02498          | 0.02474         | 0.01296           | 0.9358                       | 0.005611        | 893.71  | -56012.500403358325 |
| ONTUSDT   | 0.0002769                 | 85.6          | 0.02447          | 0.01853         | 0.003601          | 0.9148                       | 0.00235         | 1124.67 | -56012.50027691647  |
| TRBUSDT   | 0.000232                  | 89.4          | 0.02047          | 0.01977         | 0.1492            | 0.8901                       | 0.006028        | 919.71  | -56012.50023203614  |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              short                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| LITUSDT   | 0.002307                  | 92.67         | 0.01876          | 0.01827         | 0.1311            | 0.9265                       | 0.008748        | 751.71  | -36012.502307136616 |
| OCEANUSDT | 0.002291                  | 82.08         | 0.01513          | 0.01757         | 0.1936            | 0.873                        | 0.01            | 858.71  | -36012.50229061334  |
| REEFUSDT  | 0.002096                  | 82.02         | 0.01356          | 0.01505         | 0.2592            | 0.8899                       | 0.009714        | 747.71  | -36012.50209584236  |
| ANKRUSDT  | 0.001975                  | 95.85         | 0.01332          | 0.01537         | 0.09493           | 0.8765                       | 0.009724        | 774.71  | -36012.5019748793   |
| STMXUSDT  | 0.001801                  | 86.78         | 0.01153          | 0.01257         | 0.2041            | 0.8906                       | 0.009017        | 719.71  | -36012.50180072309  |
| ONTUSDT   | 0.001685                  | 56.03         | 0.008252         | 0.01161         | 0.2586            | 0.8688                       | 0.009822        | 1124.67 | -36012.501685029536 |
| CELRUSDT  | 0.001544                  | 57.55         | 0.007419         | 0.01009         | 0.1842            | 0.9071                       | 0.007554        | 712.71  | -36012.501543834675 |
| ENJUSDT   | 0.001532                  | 72.55         | 0.01335          | 0.01489         | 0.2781            | 0.8276                       | 0.009932        | 893.71  | -36012.50153180443  |
| SKLUSDT   | 0.001436                  | 78.58         | 0.0159           | 0.01815         | 0.1093            | 0.7803                       | 0.009763        | 823.71  | -36012.501436234954 |
| RENUSDT   | 0.001397                  | 94.38         | 0.02294          | 0.02265         | 0.2518            | 0.852                        | 0.008486        | 879.71  | -36012.5013966674   |
| TOMOUSDT  | 0.001388                  | 88.2          | 0.01086          | 0.01369         | 0.1351            | 0.8838                       | 0.009481        | 880.71  | -36012.50138786924  |
| RLCUSDT   | 0.001364                  | 87.27         | 0.02369          | 0.02355         | 0.09189           | 0.8427                       | 0.009883        | 953.71  | -36012.50136380409  |
| BLZUSDT   | 0.00135                   | 86.55         | 0.0144           | 0.01596         | 0.05218           | 0.8959                       | 0.009374        | 905.71  | -36012.50134976614  |
| CRVUSDT   | 0.001335                  | 86.65         | 0.01738          | 0.01661         | 0.2699            | 0.8914                       | 0.009077        | 921.71  | -36012.50133477771  |
| RSRUSDT   | 0.001327                  | 80.33         | 0.01736          | 0.0139          | 0.1383            | 0.9042                       | 0.006252        | 873.71  | -36012.50132678204  |
| ATOMUSDT  | 0.001295                  | 64.33         | 0.008628         | 0.01288         | 0.2016            | 0.839                        | 0.009915        | 1128.5  | -36012.50129509048  |
| HOTUSDT   | 0.00128                   | 88.07         | 0.01322          | 0.01552         | 0.2848            | 0.9013                       | 0.009948        | 711.71  | -36012.50127959337  |
| SFPUSDT   | 0.001245                  | 64.35         | 0.01344          | 0.01223         | 0.07087           | 0.8579                       | 0.009354        | 745.71  | -36012.50124526165  |
| TRBUSDT   | 0.001207                  | 86.93         | 0.02251          | 0.02346         | 0.01786           | 0.8287                       | 0.009754        | 919.71  | -36012.50120691319  |
| ALGOUSDT  | 0.001161                  | 90.72         | 0.01371          | 0.01176         | 0.1621            | 0.9001                       | 0.008133        | 998.62  | -36012.50116061078  |
| CHZUSDT   | 0.001145                  | 59.95         | 0.01274          | 0.0125          | 0.1775            | 0.7223                       | 0.007682        | 779.71  | -36012.50114519127  |
| OGNUSDT   | 0.001134                  | 85.23         | 0.01219          | 0.01349         | 0.1262            | 0.7585                       | 0.008279        | 709.71  | -36012.50113396278  |
