trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
22870,0.53065,buy,long,entry,44.0,0.0,-0.004202748,44.0,0.53065,-45.0,0.52225,0.8233886943344874,19.91813321000001,0.29612321000001,0.0,0.37979000000001006,-0.08366678999999999,20.296123210000008,11.548494106490004,13.330360632333784,1613828608248,0.003262951828587025,0.018977180040658875,0.9959066605000005,0.10745163194444445,0.9625465044936254,0.0,1.7558075,1.7558075
23287,0.53162,sel,long,close,-44.0,0.04268000000000116,-0.0042104304,0.0,,-45.0,0.52225,24.07450789521619,19.912492779600004,0.33459277960001116,0.0,0.4224700000000112,-0.0878772204,20.33459277960001,11.570383291592403,0.9683199200265077,1613828678544,0.0033224468400658526,0.021197747799433623,0.9956246389800002,0.10826524305555556,0.9603072257111068,0.0,1.7753341666666667,1.7753341666666667
23387,0.53201,buy,long,entry,44.0,0.0,-0.0042135192,44.0,0.53201,-45.0,0.52225,0.8201502256137362,19.891189260400008,0.33037926040001114,0.0,0.4224700000000112,-0.0920907396,20.330379260400008,11.567985799167603,13.313682699087368,1613828679299,0.003336714228909696,0.02207962501640628,0.9945594630200004,0.10827398148148148,0.9508632185887785,0.0,1.7755438888888888,1.7755438888888888
24143,0.53298,sel,long,close,-44.0,0.04268000000000116,-0.0042212016,0.0,,-45.0,0.52225,23.97876679003259,19.88508805880001,0.3688380588000123,0.0,0.4651500000000124,-0.0963119412,20.36883805880001,11.589868855457205,0.9690763874265519,1613828772778,0.0034445756885691536,0.024327274718097952,0.9942544029400006,0.10935591435185185,0.9486722915746069,0.0,1.8015102777777778,1.8015102777777778
24146,0.53294,buy,long,entry,44.0,0.0,-0.0042208848,44.0,0.53294,-45.0,0.52225,0.8183933864232673,19.88357717400001,0.3646171740000123,0.0,0.4651500000000124,-0.100532826,20.36461717400001,11.587467172006004,13.309326710560642,1613828773566,0.0034450037102344688,0.024192829881185235,0.9941788587000004,0.10936503472222223,0.9480175760020416,0.0,1.8017291666666666,1.8017291666666666
24437,0.53391,sel,long,close,-44.0,0.04268000000000116,-0.0042285672,0.0,,-45.0,0.52225,23.927567258317058,19.877918606800016,0.4030686068000135,0.0,0.5078300000000135,-0.10476139320000001,20.403068606800012,11.609346037269207,0.9698325294190415,1613828815843,0.0034865218117700538,0.02641876196335508,0.9938959303400008,0.10985435185185186,0.9457893637142128,0.0,1.8134727777777777,1.8134727777777777
24446,0.5339,buy,long,entry,44.0,0.0,-0.004228488000000001,44.0,0.5339,-45.0,0.52225,0.8165740043062888,19.87461011880001,0.3988401188000135,0.0,0.5078300000000135,-0.10898988120000001,20.398840118800013,11.606940027597206,13.304100468578895,1613828816761,0.0034878058767659997,0.026376869627450828,0.9937305059400006,0.10986497685185186,0.9443625924826927,0.0,1.8137277777777778,1.8137277777777778
24566,0.53487,sel,long,close,-44.0,0.042679999999996276,-0.0042361704,0.0,,-45.0,0.52225,23.87305651469282,19.868933948400006,0.4372839484000098,0.0,0.5505100000000098,-0.11322605160000002,20.437283948400008,11.628814566639603,0.9705883355069583,1613828822677,0.003504926743378612,0.02860495693810337,0.9934466974200002,0.10993344907407407,0.9419456266053842,0.0,1.815371111111111,1.815371111111111
24603,0.53482,buy,long,entry,44.0,0.0,-0.0042357744,44.0,0.53482,-45.0,0.52225,0.8148622578664141,19.867418174000008,0.4330481740000098,0.0,0.5505100000000098,-0.11746182600000002,20.433048174000007,11.626404411006003,13.300011847457641,1613828823480,0.003510205677250834,0.02847023176570696,0.9933709087000004,0.10994274305555556,0.9412969765599557,0.0,1.8155941666666666,1.8155941666666666
25195,0.53579,sel,long,close,-44.0,0.04268000000000116,-0.0042434568,0.0,,-45.0,0.52225,23.82271714717738,19.861734717200004,0.47148471720001095,0.0,0.593190000000011,-0.12170528280000002,20.471484717200006,11.648274804086803,0.9713438196863265,1613828860006,0.003594668619206388,0.030699735379708108,0.9930867358600002,0.11036549768518518,0.9390775192996597,0.0,1.8257402777777778,1.8257402777777778
25220,0.53596,buy,long,entry,44.0,0.0,-0.0042448032,44.0,0.53596,-45.0,0.52225,0.8123776839002267,19.850299914000008,0.46723991400001097,0.0,0.593190000000011,-0.12595008600000002,20.467239914000007,11.645859511066003,13.289602290743167,1613828861166,0.0035982354664173487,0.031079631172972078,0.9925149957000003,0.11037892361111111,0.9341979197991316,0.0,1.8260625,1.8260625
40069,0.5213,buy,shrt,close,45.0,0.04275000000000029,-0.00422253,44.0,0.53596,-0.0,,24.4946616738795,19.85940738400001,0.5057673840000112,0.0,0.6359400000000113,-0.13017261600000002,20.50576738400001,11.667781641496004,0.07034188348271424,1613832674042,0.00571680003583968,0.032546791930999214,0.9929703692000006,0.15450943287037036,0.9553694871928698,1.0591322222222221,0.0,1.0591322222222221
40112,0.52135,sel,shrt,entry,-46.0,0.0,-0.004316778,44.0,0.53596,-46.0,0.52135,0.8650826025994701,19.858570606000008,0.5014506060000112,0.0,0.6359400000000113,-0.134489394,20.50145060600001,11.665325394814005,8.228862443307094,1613832674879,0.005722935013042533,0.032372924152243056,0.9929285303000004,0.15451912037037038,0.9551117359536407,1.0593647222222222,0.0002325,1.0593647222222222
40348,0.5204,buy,shrt,close,46.0,0.043700000000000294,-0.004308912,44.0,0.53596,-0.0,,14.81287581103998,19.855761694000005,0.5408416940000116,0.0,0.6796400000000116,-0.138798306,20.540841694000008,11.687738923886004,0.06953992834278377,1613832683155,0.005756606050714004,0.034502831498376595,0.9927880847000002,0.1546149074074074,0.9542654631443823,1.061663611111111,0.0,1.061663611111111
40393,0.52059,sel,shrt,entry,-46.0,0.0,-0.0043104852,44.0,0.53596,-46.0,0.52059,0.866423495307753,19.86023120880001,0.5365312088000116,0.0,0.6796400000000116,-0.1431087912,20.536531208800007,11.685286257807203,8.228909924724416,1613832684372,0.005763026375693734,0.03405297717281011,0.9930115604400005,0.15462899305555555,0.9556595529715062,1.0620016666666667,0.0003380555555555556,1.0620016666666667
40504,0.51964,buy,shrt,close,46.0,0.043700000000000294,-0.004302619200000001,44.0,0.53596,-0.0,,14.83609476882477,19.85740858960001,0.5759285896000119,0.0,0.7233400000000119,-0.1474114104,20.575928589600007,11.707703367482402,0.06873768543991202,1613832688286,0.0057788631773104,0.03618397621008368,0.9928704294800005,0.15467429398148147,0.9547944581470861,1.063088888888889,0.0,1.063088888888889
40609,0.51985,sel,shrt,entry,-46.0,0.0,-0.004304358,44.0,0.53596,-46.0,0.51985,0.8677765447622207,19.86276423160001,0.571624231600012,0.0,0.7233400000000119,-0.1517157684,20.57162423160001,11.705254187780405,8.229324500629929,1613832689083,0.005793843935596436,0.03568788270024675,0.9931382115800005,0.15468351851851853,0.9564630962345096,1.0633102777777779,0.0002213888888888889,1.0633102777777779
40654,0.5189,buy,shrt,close,46.0,0.043700000000000294,-0.004296492000000001,44.0,0.53596,-0.0,,14.860089233584384,19.859067739600007,0.6110277396000122,0.0,0.7670400000000122,-0.15601226040000002,20.611027739600008,11.727674783832404,0.06793516234680792,1613832690096,0.005800264260576166,0.03786481872462489,0.9929533869800004,0.15469524305555554,0.9553162591066688,1.0635916666666667,0.0,1.0635916666666667
40786,0.51927,sel,shrt,entry,-46.0,0.0,-0.0042995556,44.0,0.53596,-46.0,0.51927,0.869174313767509,19.87234818400001,0.6067281840000123,0.0,0.7670400000000122,-0.16031181600000002,20.60672818400001,11.725228336696004,8.232641017322841,1613832691143,0.005819097213850039,0.03695486779923047,0.9936174092000005,0.1547073611111111,0.9594566746312951,1.0638825,0.0002908333333333333,1.0638825
40877,0.51833,buy,shrt,close,46.0,0.04324000000000239,-0.004291772399999999,44.0,0.53596,-0.0,,14.88454313753732,19.86775641160001,0.6456764116000147,0.0,0.8102800000000145,-0.16460358840000003,20.64567641160001,11.747389878200405,0.06714293918968328,1613832693124,0.005832080537697936,0.039154899218806834,0.9933878205800004,0.15473028935185185,0.9580306685969884,1.0644327777777778,0.0,1.0644327777777778
40924,0.51839,sel,shrt,entry,-46.0,0.0,-0.0042922692000000005,44.0,0.53596,-46.0,0.51839,0.870502923509261,19.86810414240001,0.6413841424000146,0.0,0.8102800000000145,-0.16889585760000003,20.64138414240001,11.744947577025606,8.230348087559063,1613832693894,0.005838786210454543,0.038920673782344574,0.9934052071200006,0.1547392013888889,0.958141400874549,1.0646466666666667,0.0002138888888888889,1.0646466666666667
41206,0.51745,buy,shrt,close,46.0,0.04324000000000239,-0.004284486,44.0,0.53596,-0.0,,14.905898437614146,19.865459656400013,0.680339656400017,0.0,0.8535200000000169,-0.17318034360000004,20.68033965640001,11.767113264491606,0.06635038283336353,1613832701789,0.0058790202469941825,0.04101994185357149,0.9932729828200006,0.1548305787037037,0.9573421806402519,1.0668397222222221,0.0,1.0668397222222221
