+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| IMXUSDT      | 0.003377                  | 42.22         | 0.01084          | 0.01269         | 0.1107            | 0.8802                       | 0.009408        | 445.85  | -42518.00337711352  |
| CELOUSDT     | 0.003106                  | 30.38         | 0.009984         | 0.01222         | 0.03106           | 0.8738                       | 0.009785        | 582.85  | -42518.00310643569  |
| 1000SHIBUSDT | 0.002572                  | 38.7          | 0.009271         | 0.01717         | 0.07643           | 0.7899                       | 0.01493         | 722.26  | -42518.002572401325 |
| SOLUSDT      | 0.002249                  | 60.02         | 0.0121           | 0.01474         | 0.1314            | 0.8212                       | 0.009142        | 960.71  | -42518.00224899649  |
| DUSKUSDT     | 0.002157                  | 49.0          | 0.00993          | 0.01022         | 0.01659           | 0.9096                       | 0.00653         | 480.85  | -42518.002157419425 |
| GALUSDT      | 0.002134                  | 23.82         | 0.01435          | 0.01805         | 0.09858           | 0.8526                       | 0.0136          | 362.41  | -42518.00213387975  |
| NKNUSDT      | 0.002104                  | 38.9          | 0.01367          | 0.01576         | 0.03122           | 0.7914                       | 0.01144         | 753.71  | -42518.00210420891  |
| LRCUSDT      | 0.002068                  | 71.62         | 0.01304          | 0.01863         | 0.05048           | 0.8377                       | 0.01372         | 925.7   | -42518.002068310234 |
| OMGUSDT      | 0.001967                  | 62.0          | 0.01692          | 0.01796         | 0.01162           | 0.7753                       | 0.01051         | 1034.62 | -42518.00196697333  |
| APEUSDT      | 0.001927                  | 56.45         | 0.01162          | 0.01607         | 0.03291           | 0.8566                       | 0.01215         | 411.37  | -42518.001926779994 |
| ARUSDT       | 0.001897                  | 66.03         | 0.01276          | 0.01169         | 0.1166            | 0.886                        | 0.004894        | 581.85  | -42518.00189740889  |
| DYDXUSDT     | 0.001896                  | 54.53         | 0.01267          | 0.01205         | 0.1097            | 0.8811                       | 0.005741        | 599.85  | -42518.00189555845  |
| ROSEUSDT     | 0.001859                  | 42.67         | 0.01108          | 0.01638         | 0.1162            | 0.8467                       | 0.0125          | 487.85  | -42518.00185900119  |
| DOGEUSDT     | 0.001791                  | 26.98         | 0.01087          | 0.01886         | 0.116             | 0.7144                       | 0.01517         | 1026.62 | -42518.00179110603  |
| HBARUSDT     | 0.001788                  | 52.18         | 0.0104           | 0.01406         | 0.1459            | 0.832                        | 0.009616        | 776.71  | -42518.00178786149  |
| CTSIUSDT     | 0.001783                  | 77.62         | 0.01564          | 0.01889         | 0.1444            | 0.8132                       | 0.01239         | 553.85  | -42518.00178321035  |
