+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| WOOUSDT      | 0.003062      | 0.002918    | 94.42         | 0.01715      | 0.01689     | 0.0            | 0.8567                 | 0.0121       | 396.85  | -22518.0030625 |
| CELOUSDT     | 0.002206      | 0.002464    | 51.98         | 0.01179      | 0.01101     | 0.0            | 0.8948                 | 0.008554     | 589.85  | -22518.0022063 |
| 1000SHIBUSDT | 0.00217       | 0.003809    | 73.95         | 0.00913      | 0.01368     | 0.0            | 0.81                   | 0.01021      | 729.26  | -22518.0021702 |
| IMXUSDT      | 0.002161      | 0.002532    | 40.77         | 0.008466     | 0.009571    | 0.0            | 0.8818                 | 0.007218     | 452.85  | -22518.0021612 |
| NKNUSDT      | 0.001935      | 0.002356    | 78.18         | 0.0134       | 0.01447     | 0.0            | 0.8514                 | 0.01063      | 760.71  | -22518.0019353 |
| TOMOUSDT     | 0.001934      | 0.001844    | 91.62         | 0.01681      | 0.0154      | 0.0            | 0.899                  | 0.007767     | 939.71  | -22518.0019343 |
| JASMYUSDT    | 0.001671      | 0.00199     | 62.28         | 0.008655     | 0.007988    | 0.0            | 0.9235                 | 0.005526     | 384.85  | -22518.001671  |
| DUSKUSDT     | 0.001562      | 0.001644    | 86.12         | 0.01802      | 0.01805     | 0.0            | 0.8966                 | 0.009743     | 487.85  | -22518.0015618 |
| HOTUSDT      | 0.001455      | 0.002385    | 72.2          | 0.01115      | 0.01661     | 0.0            | 0.803                  | 0.01434      | 770.71  | -22518.0014554 |
| FLOWUSDT     | 0.001436      | 0.001617    | 93.98         | 0.009984     | 0.01096     | 0.0            | 0.9115                 | 0.00721      | 453.85  | -22518.0014357 |
| MANAUSDT     | 0.00137       | 0.002081    | 82.12         | 0.009932     | 0.01984     | 0.0            | 0.6739                 | 0.01437      | 785.71  | -22518.0013702 |
