
# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| RNDRUSDT     | 0.002073      | 0.003034    | 0.06232      | 30.97         | 0.01221      | 0.01011     | 0.003624       | 0.9293                 | 0.006426     | 116.89  | -230179.252073 |
| COTIUSDT     | 0.001862      | 0.002863    | 0.07065      | 25.85         | 0.01085      | 0.01255     | 0.009478       | 0.8031                 | 0.009135     | 808.71  | -230179.251862 |
| DOGEUSDT     | 0.001472      | 0.002825    | 0.06047      | 82.27         | 0.0109       | 0.01635     | 0.05934        | 0.7457                 | 0.01061      | 1051.62 | -230179.251472 |
| FETUSDT      | 0.001912      | 0.002701    | 0.06037      | 20.73         | 0.008948     | 0.007593    | 0.008852       | 0.9581                 | 0.00325      | 133.89  | -230179.251912 |
| GRTUSDT      | 0.001707      | 0.002695    | 0.07499      | 49.27         | 0.01253      | 0.01947     | 0.04051        | 0.7324                 | 0.01325      | 889.71  | -230179.251707 |
| HOTUSDT      | 0.001627      | 0.002637    | 0.07168      | 70.22         | 0.009762     | 0.01533     | 0.008093       | 0.7667                 | 0.009594     | 788.71  | -230179.251627 |
| MANAUSDT     | 0.001668      | 0.002593    | 0.07297      | 23.53         | 0.009853     | 0.01514     | 0.02521        | 0.7919                 | 0.01014      | 803.71  | -230179.251668 |
| NKNUSDT      | 0.001947      | 0.002527    | 0.07483      | 36.65         | 0.01245      | 0.01431     | 0.01411        | 0.8494                 | 0.009364     | 778.71  | -230179.251947 |
| SOLUSDT      | 0.001699      | 0.002493    | 0.06875      | 53.2          | 0.01126      | 0.01757     | 0.01752        | 0.8443                 | 0.012        | 985.71  | -230179.251699 |
| IDUSDT       | 0.001416      | 0.002488    | 0.05706      | 32.95         | 0.008524     | 0.006962    | 0.004693       | 0.9682                 | 0.003014     | 68.39   | -230179.251416 |
| RLCUSDT      | 0.001531      | 0.002463    | 0.06784      | 50.6          | 0.01147      | 0.0196      | 0.01152        | 0.7906                 | 0.01322      | 1030.71 | -230179.251531 |
| CELRUSDT     | 0.001706      | 0.002458    | 0.07485      | 64.83         | 0.01457      | 0.01505     | 0.02801        | 0.8684                 | 0.009828     | 789.71  | -230179.251706 |
| MATICUSDT    | 0.001228      | 0.002385    | 0.063        | 44.2          | 0.01167      | 0.01952     | 0.02192        | 0.764                  | 0.01245      | 947.71  | -230179.251228 |
| AVAXUSDT     | 0.001141      | 0.002306    | 0.0638       | 76.47         | 0.009944     | 0.01218     | 0.0296         | 0.8158                 | 0.007161     | 976.71  | -230179.251141 |
| RUNEUSDT     | 0.001516      | 0.002265    | 0.07022      | 55.62         | 0.0121       | 0.01535     | 0.02807        | 0.8252                 | 0.009591     | 995.7   | -230179.251516 |
| LRCUSDT      | 0.001439      | 0.002238    | 0.07436      | 33.15         | 0.01039      | 0.01047     | 0.01814        | 0.8817                 | 0.007384     | 950.7   | -230179.251439 |
| DOTUSDT      | 0.001336      | 0.002234    | 0.075        | 62.12         | 0.01132      | 0.01597     | 0.02282        | 0.804                  | 0.01012      | 1008.71 | -230179.251336 |
| CHZUSDT      | 0.001476      | 0.002172    | 0.06811      | 50.07         | 0.01088      | 0.01386     | 0.008862       | 0.8456                 | 0.008538     | 856.71  | -230179.251476 |
| THETAUSDT    | 0.0012        | 0.002121    | 0.07495      | 53.82         | 0.01282      | 0.01831     | 0.02525        | 0.7904                 | 0.01296      | 1095.66 | -230179.2512   |
| MKRUSDT      | 0.0012        | 0.002102    | 0.07077      | 29.03         | 0.009726     | 0.01395     | 0.08989        | 0.7803                 | 0.01069      | 1017.71 | -230179.2512   |
| HBARUSDT     | 0.00115       | 0.002101    | 0.0746       | 61.87         | 0.01334      | 0.01868     | 0.04001        | 0.8136                 | 0.01257      | 801.71  | -230179.25115  |
| DGBUSDT      | 0.001436      | 0.002092    | 0.07215      | 41.87         | 0.01417      | 0.01753     | 0.0249         | 0.7881                 | 0.01105      | 766.85  | -230179.251436 |
| HIGHUSDT     | 0.001154      | 0.002087    | 0.03499      | 31.6          | 0.01029      | 0.008587    | 0.00202        | 0.9861                 | 0.001264     | 112.89  | -230179.251154 |
| LQTYUSDT     | 0.001213      | 0.002073    | 0.0625       | 22.43         | 0.01057      | 0.008255    | 0.01072        | 0.9657                 | 0.003854     | 81.5    | -230179.251213 |
| ZILUSDT      | 0.001282      | 0.00203     | 0.07235      | 54.67         | 0.009168     | 0.01969     | 0.04221        | 0.8281                 | 0.01387      | 1073.62 | -230179.251282 |
| CFXUSDT      | 0.001011      | 0.00195     | 0.04833      | 43.38         | 0.01058      | 0.009527    | 0.008544       | 0.9451                 | 0.004338     | 99.39   | -230179.251011 |
| INJUSDT      | 0.001736      | 0.001942    | 0.04789      | 56.37         | 0.009664     | 0.009087    | 0.006048       | 0.9418                 | 0.004602     | 286.88  | -230179.251736 |
| TOMOUSDT     | 0.001623      | 0.001939    | 0.07133      | 91.55         | 0.01526      | 0.01587     | 0.01147        | 0.8611                 | 0.008449     | 957.71  | -230179.251623 |
| 1INCHUSDT    | 0.001137      | 0.001915    | 0.06224      | 45.4          | 0.009367     | 0.01847     | 0.02265        | 0.8652                 | 0.01057      | 883.58  | -230179.251137 |
| ICXUSDT      | 0.001397      | 0.001905    | 0.05877      | 22.53         | 0.01087      | 0.01147     | 0.05072        | 0.8313                 | 0.007727     | 984.71  | -230179.251397 |
| OCEANUSDT    | 0.001619      | 0.001879    | 0.07494      | 30.52         | 0.01549      | 0.01445     | 0.04645        | 0.8604                 | 0.00798      | 935.71  | -230179.251619 |
| OMGUSDT      | 0.001306      | 0.001877    | 0.07367      | 62.0          | 0.01697      | 0.0186      | 0.04801        | 0.7722                 | 0.01062      | 1059.62 | -230179.251306 |
| RVNUSDT      | 0.001112      | 0.001877    | 0.06561      | 29.37         | 0.008851     | 0.008902    | 0.02002        | 0.9043                 | 0.006241     | 823.71  | -230179.251112 |
| COMPUSDT     | 0.001263      | 0.001872    | 0.06918      | 47.25         | 0.0134       | 0.01797     | 0.01194        | 0.8339                 | 0.01197      | 1061.62 | -230179.251263 |
| XRPUSDT      | 0.001273      | 0.001855    | 0.06802      | 49.48         | 0.01104      | 0.0109      | 0.02794        | 0.9025                 | 0.004768     | 1237.65 | -230179.251273 |
| OPUSDT       | 0.001272      | 0.001852    | 0.07425      | 32.97         | 0.0113       | 0.01604     | 0.06258        | 0.8646                 | 0.01123      | 363.41  | -230179.251272 |
| ANKRUSDT     | 0.001298      | 0.00185     | 0.07172      | 87.93         | 0.01193      | 0.01632     | 0.07409        | 0.8221                 | 0.01092      | 851.71  | -230179.251298 |
| STXUSDT      | 0.001288      | 0.001835    | 0.07407      | 30.57         | 0.01152      | 0.009425    | 0.005979       | 0.96                   | 0.004277     | 98.39   | -230179.251288 |
