
# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ATOMUSDT     | 0.001562      | 0.002802    | 0.07327      | 72.27         | 0.008711     | 0.01902     | 0.05034        | 0.6415                 | 0.01151      | 1205.46 | -230179.251562 |
| JOEUSDT      | 0.001552      | 0.002041    | 0.05424      | 36.67         | 0.01094      | 0.008904    | 0.004368       | 0.9632                 | 0.003763     | 59.46   | -230179.251552 |
| AXSUSDT      | 0.001524      | 0.003397    | 0.07139      | 82.07         | 0.01231      | 0.01483     | 0.02675        | 0.7982                 | 0.01124      | 918.67  | -230179.251524 |
| GALAUSDT     | 0.001514      | 0.002362    | 0.06414      | 59.12         | 0.008874     | 0.01151     | 0.04907        | 0.8741                 | 0.007953     | 616.83  | -230179.251514 |
| RLCUSDT      | 0.001496      | 0.002485    | 0.04837      | 56.32         | 0.0122       | 0.01876     | 0.02465        | 0.7907                 | 0.01135      | 1030.67 | -230179.251496 |
| IDUSDT       | 0.001493      | 0.002343    | 0.03861      | 32.15         | 0.009733     | 0.007833    | 0.0            | 0.9898                 | 0.001314     | 65.38   | -230179.251493 |
| STXUSDT      | 0.001482      | 0.002505    | 0.06294      | 28.05         | 0.01274      | 0.01462     | 0.03328        | 0.893                  | 0.009701     | 95.38   | -230179.251482 |
| ANKRUSDT     | 0.001466      | 0.002333    | 0.069        | 84.17         | 0.01243      | 0.01266     | 0.03107        | 0.8236                 | 0.008933     | 851.67  | -230179.251466 |
| WAVESUSDT    | 0.001454      | 0.002296    | 0.04833      | 87.07         | 0.01167      | 0.01406     | 0.06026        | 0.8914                 | 0.005951     | 1018.67 | -230179.251454 |
| MKRUSDT      | 0.001427      | 0.001833    | 0.07161      | 93.95         | 0.01271      | 0.01825     | 0.05338        | 0.7652                 | 0.01193      | 1017.67 | -230179.251427 |
| MAGICUSDT    | 0.001419      | 0.002711    | 0.04818      | 60.73         | 0.01105      | 0.01015     | 0.08737        | 0.9298                 | 0.006044     | 122.83  | -230179.251419 |
| ONEUSDT      | 0.001385      | 0.002596    | 0.07056      | 72.03         | 0.01363      | 0.01653     | 0.08091        | 0.77                   | 0.01341      | 800.67  | -230179.251385 |
| RVNUSDT      | 0.001367      | 0.002505    | 0.07491      | 82.53         | 0.01183      | 0.01452     | 0.03544        | 0.7624                 | 0.01036      | 823.67  | -230179.251367 |
| SKLUSDT      | 0.001364      | 0.00255     | 0.0711       | 81.28         | 0.01422      | 0.01786     | 0.04186        | 0.7834                 | 0.01356      | 900.67  | -230179.251364 |
| MASKUSDT     | 0.001363      | 0.001483    | 0.02093      | 86.83         | 0.0125       | 0.01077     | 0.0225         | 0.9016                 | 0.004195     | 638.83  | -230179.251363 |
| ALGOUSDT     | 0.001358      | 0.002459    | 0.06923      | 67.63         | 0.01114      | 0.0161      | 0.08102        | 0.7681                 | 0.01046      | 1075.58 | -230179.251358 |
| ACHUSDT      | 0.001357      | 0.002533    | 0.06022      | 60.97         | 0.01325      | 0.01217     | 0.08885        | 0.9215                 | 0.008209     | 94.38   | -230179.251357 |
