+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| JASMYUSDT    | 0.003645      | 0.004672    | 63.7          | 0.01214      | 0.0113      | 0.01957        | 0.8743                 | 0.007985     | 379.88  | -22518.0036452 |
| SPELLUSDT    | 0.003477      | 0.003129    | 73.57         | 0.01248      | 0.01848     | 0.1474         | 0.8334                 | 0.01378      | 224.5   | -22518.0034772 |
| QNTUSDT      | 0.003308      | 0.003757    | 76.78         | 0.01308      | 0.01828     | 0.1457         | 0.8824                 | 0.01898      | 180.92  | -22518.0033083 |
| GALUSDT      | 0.00322       | 0.005128    | 60.52         | 0.01397      | 0.01963     | 0.07591        | 0.7931                 | 0.01919      | 364.42  | -22518.0032203 |
| ANKRUSDT     | 0.003128      | 0.003793    | 94.32         | 0.01154      | 0.01818     | 0.02492        | 0.7162                 | 0.01474      | 828.71  | -22518.0031278 |
| ICPUSDT      | 0.003038      | 0.002746    | 85.98         | 0.01456      | 0.01227     | 0.01443        | 0.9462                 | 0.005136     | 203.92  | -22518.0030378 |
| DARUSDT      | 0.00286       | 0.004187    | 65.77         | 0.01051      | 0.01968     | 0.06664        | 0.7794                 | 0.01415      | 370.88  | -22518.0028595 |
| CTSIUSDT     | 0.002827      | 0.002276    | 78.8          | 0.01727      | 0.01803     | 0.1454         | 0.7833                 | 0.01892      | 555.88  | -22518.0028271 |
| ATAUSDT      | 0.002621      | 0.003394    | 87.23         | 0.01556      | 0.01985     | 0.1336         | 0.8012                 | 0.01501      | 611.88  | -22518.0026212 |
| OCEANUSDT    | 0.00261       | 0.00251     | 64.03         | 0.01558      | 0.01992     | 0.07911        | 0.7654                 | 0.01846      | 912.71  | -22518.0026104 |
| FOOTBALLUSDT | 0.002588      | 0.003025    | 48.02         | 0.006259     | 0.01119     | 0.1353         | 0.8455                 | 0.0117       | 229.88  | -22518.0025884 |
| 1000LUNCUSDT | 0.002464      | 0.00432     | 83.18         | 0.01142      | 0.01975     | 0.1308         | 0.7514                 | 0.02046      | 221.46  | -22518.0024644 |
| STGUSDT      | 0.002271      | 0.001663    | 53.73         | 0.00959      | 0.01659     | 0.143          | 0.8791                 | 0.01314      | 236.5   | -22518.0022706 |
| DUSKUSDT     | 0.002107      | 0.002317    | 95.9          | 0.01294      | 0.01168     | 0.0008076      | 0.8483                 | 0.006585     | 482.88  | -22518.0021074 |
| FLOWUSDT     | 0.002011      | 0.002629    | 39.5          | 0.009393     | 0.01128     | 0.09741        | 0.8725                 | 0.009537     | 448.88  | -22518.0020112 |
| LITUSDT      | 0.001993      | 0.002353    | 80.3          | 0.01603      | 0.0195      | 0.05883        | 0.6438                 | 0.01687      | 805.71  | -22518.0019934 |
| CELOUSDT     | 0.001948      | 0.002066    | 58.43         | 0.01699      | 0.0195      | 0.1352         | 0.8215                 | 0.01559      | 584.88  | -22518.0019484 |
| CELRUSDT     | 0.001922      | 0.002133    | 76.0          | 0.01056      | 0.01357     | 0.09516        | 0.8059                 | 0.009665     | 765.71  | -22518.0019222 |
| LDOUSDT      | 0.00186       | 0.001837    | 68.23         | 0.01511      | 0.01503     | 0.121          | 0.912                  | 0.00679      | 208.5   | -22518.0018596 |
| ANTUSDT      | 0.001825      | 0.002042    | 56.17         | 0.009371     | 0.01566     | 0.08884        | 0.7949                 | 0.014        | 493.83  | -22518.0018246 |
| DYDXUSDT     | 0.00178       | 0.001632    | 95.63         | 0.01837      | 0.01566     | 0.1354         | 0.8672                 | 0.006646     | 601.88  | -22518.0017798 |
| ZRXUSDT      | 0.001757      | 0.002175    | 63.63         | 0.01189      | 0.01682     | 0.1213         | 0.6712                 | 0.0148       | 1044.62 | -22518.0017565 |
| STMXUSDT     | 0.001707      | 0.002196    | 82.72         | 0.01281      | 0.01407     | 0.1172         | 0.7762                 | 0.01295      | 773.71  | -22518.0017072 |
| SKLUSDT      | 0.001668      | 0.002495    | 91.27         | 0.01671      | 0.01915     | 0.1162         | 0.6429                 | 0.01399      | 877.71  | -22518.0016685 |
| RSRUSDT      | 0.001659      | 0.002773    | 78.73         | 0.01258      | 0.0162      | 0.1256         | 0.793                  | 0.01326      | 927.71  | -22518.0016588 |
| IMXUSDT      | 0.001648      | 0.001473    | 85.85         | 0.01992      | 0.01972     | 0.0401         | 0.8278                 | 0.008851     | 447.88  | -22518.0016485 |
| WOOUSDT      | 0.001639      | 0.001885    | 59.72         | 0.0105       | 0.008707    | 0.02976        | 0.9156                 | 0.005202     | 391.88  | -22518.0016389 |
| CTKUSDT      | 0.001585      | 0.0031      | 80.5          | 0.01328      | 0.01984     | 0.1089         | 0.5285                 | 0.01859      | 896.71  | -22518.001585  |
| XEMUSDT      | 0.001565      | 0.002007    | 76.58         | 0.01213      | 0.01956     | 0.126          | 0.7561                 | 0.0189       | 792.71  | -22518.001565  |
| 1000XECUSDT  | 0.001561      | 0.002569    | 77.22         | 0.01232      | 0.01763     | 0.06732        | 0.788                  | 0.01507      | 594.88  | -22518.001561  |
| GRTUSDT      | 0.001439      | 0.002319    | 79.9          | 0.01348      | 0.01958     | 0.07842        | 0.6301                 | 0.01786      | 866.71  | -22518.0014393 |
| NEOUSDT      | 0.001421      | 0.001418    | 59.0          | 0.01034      | 0.01454     | 0.1452         | 0.715                  | 0.01343      | 1172.67 | -22518.001421  |
| ZENUSDT      | 0.00142       | 0.002082    | 95.68         | 0.01811      | 0.01947     | 0.1058         | 0.6851                 | 0.01691      | 891.71  | -22518.0014195 |
| RENUSDT      | 0.001416      | 0.001309    | 78.52         | 0.01855      | 0.0199      | 0.08683        | 0.7032                 | 0.01555      | 933.71  | -22518.0014156 |
| ZILUSDT      | 0.001399      | 0.001644    | 76.73         | 0.009066     | 0.01186     | 0.06312        | 0.7641                 | 0.008354     | 1050.62 | -22518.0013986 |
| API3USDT     | 0.00137       | 0.002122    | 91.47         | 0.01644      | 0.01988     | 0.1225         | 0.8078                 | 0.01524      | 436.88  | -22518.0013698 |
| ATOMUSDT     | 0.001355      | 0.002415    | 89.82         | 0.01088      | 0.01865     | 0.1225         | 0.7111                 | 0.02015      | 1182.5  | -22518.0013553 |
| TOMOUSDT     | 0.001337      | 0.001577    | 69.03         | 0.01269      | 0.01544     | 0.1312         | 0.7805                 | 0.01195      | 934.71  | -22518.0013371 |
| APEUSDT      | 0.00133       | 0.002158    | 94.23         | 0.01465      | 0.01918     | 0.1377         | 0.7574                 | 0.015        | 413.38  | -22518.0013296 |
| BLZUSDT      | 0.001328      | 0.001804    | 77.7          | 0.01477      | 0.01639     | 0.08942        | 0.7954                 | 0.01197      | 958.71  | -22518.0013284 |
| REEFUSDT     | 0.001311      | 0.002093    | 86.0          | 0.01184      | 0.01971     | 0.1296         | 0.6854                 | 0.01571      | 801.71  | -22518.001311  |
| TRBUSDT      | 0.001306      | 0.002036    | 66.53         | 0.01084      | 0.01719     | 0.1184         | 0.6978                 | 0.01414      | 973.71  | -22518.0013064 |
| DGBUSDT      | 0.001242      | 0.002023    | 66.57         | 0.01088      | 0.01758     | 0.08204        | 0.7384                 | 0.01451      | 743.88  | -22518.0012422 |
| C98USDT      | 0.001184      | 0.001275    | 95.65         | 0.01699      | 0.01772     | 0.1192         | 0.8339                 | 0.01174      | 618.88  | -22518.0011841 |
| SXPUSDT      | 0.001177      | 0.001473    | 61.45         | 0.01204      | 0.0118      | 0.09858        | 0.8373                 | 0.005299     | 1017.62 | -22518.0011767 |
| ROSEUSDT     | 0.001167      | 0.001396    | 67.72         | 0.01055      | 0.0112      | 0.03032        | 0.8696                 | 0.006585     | 489.88  | -22518.0011668 |
| HOTUSDT      | 0.001156      | 0.001899    | 80.25         | 0.01427      | 0.01613     | 0.1052         | 0.8301                 | 0.008975     | 764.71  | -22518.0011562 |
| SUSHIUSDT    | 0.001126      | 0.001859    | 58.22         | 0.01172      | 0.01659     | 0.125          | 0.7202                 | 0.01303      | 972.71  | -22518.0011262 |
| ENJUSDT      | 0.001111      | 0.001788    | 83.2          | 0.01498      | 0.01951     | 0.1192         | 0.6981                 | 0.01684      | 947.71  | -22518.0011106 |
| NKNUSDT      | 0.001108      | 0.001484    | 80.42         | 0.01546      | 0.0199      | 0.1017         | 0.6938                 | 0.01456      | 755.71  | -22518.0011084 |
| AUDIOUSDT    | 0.00109       | 0.001143    | 87.85         | 0.01427      | 0.01943     | 0.09154        | 0.7435                 | 0.01263      | 623.88  | -22518.0010898 |
| ICXUSDT      | 0.001077      | 0.0009904   | 88.18         | 0.01909      | 0.01883     | 0.03993        | 0.8405                 | 0.005317     | 960.71  | -22518.0010769 |
| 1INCHUSDT    | 0.001065      | 0.001913    | 94.88         | 0.0182       | 0.01984     | 0.1054         | 0.7598                 | 0.01365      | 860.58  | -22518.0010655 |
| CRVUSDT      | 0.001061      | 0.001646    | 91.1          | 0.0132       | 0.01993     | 0.1116         | 0.6787                 | 0.01703      | 975.71  | -22518.0010613 |
| CHRUSDT      | 0.001055      | 0.00211     | 77.0          | 0.01351      | 0.01659     | 0.08144        | 0.6649                 | 0.01441      | 783.71  | -22518.0010549 |
| FLMUSDT      | 0.001053      | 0.001778    | 94.57         | 0.01614      | 0.01647     | 0.08989        | 0.7669                 | 0.01022      | 947.71  | -22518.001053  |
| ONEUSDT      | 0.00105       | 0.001485    | 89.25         | 0.01531      | 0.01741     | 0.08515        | 0.8204                 | 0.01147      | 777.71  | -22518.0010499 |
| RLCUSDT      | 0.001042      | 0.001258    | 67.97         | 0.01667      | 0.01783     | 0.01357        | 0.8507                 | 0.006533     | 1007.71 | -22518.001042  |
| OGNUSDT      | 0.001031      | 0.001787    | 85.23         | 0.01293      | 0.01597     | 0.08884        | 0.7122                 | 0.01226      | 762.71  | -22518.001031  |
| HBARUSDT     | 0.001026      | 0.001561    | 92.43         | 0.01774      | 0.01935     | 0.09784        | 0.8173                 | 0.01204      | 778.71  | -22518.001026  |
| COTIUSDT     | 0.001026      | 0.001417    | 87.0          | 0.01179      | 0.01476     | 0.06421        | 0.7457                 | 0.01109      | 785.71  | -22518.0010257 |
| ALGOUSDT     | 0.001024      | 0.001583    | 85.73         | 0.01374      | 0.01261     | 0.1284         | 0.838                  | 0.008952     | 1052.62 | -22518.001024  |
| XMRUSDT      | 0.00102       | 0.001724    | 63.82         | 0.01346      | 0.01994     | 0.1402         | 0.8078                 | 0.01765      | 1186.67 | -22518.0010198 |
| ARPAUSDT     | 0.001016      | 0.001335    | 67.58         | 0.01033      | 0.01308     | 0.06666        | 0.832                  | 0.006802     | 562.88  | -22518.0010161 |
| EOSUSDT      | 0.001001      | 0.001447    | 90.85         | 0.01336      | 0.01747     | 0.1235         | 0.6852                 | 0.01525      | 1212.67 | -22518.0010013 |
| LINAUSDT     | 0.001         | 0.0007679   | 85.5          | 0.01912      | 0.01978     | 0.02803        | 0.7794                 | 0.01024      | 775.71  | -22518.0010002 |
| ONTUSDT      | 0.0009618     | 0.001456    | 90.02         | 0.0158       | 0.01983     | 0.05198        | 0.8691                 | 0.01097      | 1178.67 | -22518.0009618 |
| ENSUSDT      | 0.0009479     | 0.00177     | 50.37         | 0.009712     | 0.01196     | 0.01656        | 0.8491                 | 0.008696     | 520.88  | -22518.0009479 |
| ZECUSDT      | 0.0009416     | 0.001429    | 88.5          | 0.01811      | 0.01864     | 0.05819        | 0.7511                 | 0.0129       | 1184.67 | -22518.0009416 |
| SANDUSDT     | 0.0009247     | 0.001719    | 71.73         | 0.01696      | 0.01962     | 0.04537        | 0.7121                 | 0.01306      | 829.71  | -22518.0009247 |
| 1000SHIBUSDT | 0.0009231     | 0.001927    | 50.4          | 0.01027      | 0.01478     | 0.08598        | 0.821                  | 0.009448     | 724.29  | -22518.0009231 |
| THETAUSDT    | 0.0008753     | 0.001503    | 65.65         | 0.00878      | 0.009232    | 0.1451         | 0.8681                 | 0.005896     | 1072.67 | -22518.0008753 |
| QTUMUSDT     | 0.0008736     | 0.00139     | 58.8          | 0.008264     | 0.01114     | 0.0581         | 0.7841                 | 0.008779     | 1169.67 | -22518.0008736 |
| XTZUSDT      | 0.000871      | 0.001511    | 94.73         | 0.01547      | 0.01272     | 0.06307        | 0.8886                 | 0.006609     | 1183.67 | -22518.000871  |
| DEFIUSDT     | 0.0008347     | 0.001246    | 79.88         | 0.0139       | 0.01228     | 0.1168         | 0.7964                 | 0.008657     | 979.71  | -22518.0008347 |
| YFIUSDT      | 0.0008166     | 0.001746    | 77.47         | 0.0109       | 0.0185      | 0.05993        | 0.6259                 | 0.01473      | 976.71  | -22518.0008166 |
| UNIUSDT      | 0.0007993     | 0.00127     | 65.78         | 0.01299      | 0.01858     | 0.1499         | 0.7596                 | 0.01495      | 958.71  | -22518.0007993 |
| HNTUSDT      | 0.0007765     | 0.001215    | 72.28         | 0.01611      | 0.01964     | 0.07276        | 0.7273                 | 0.01148      | 937.71  | -22518.0007765 |
| KSMUSDT      | 0.0007756     | 0.001361    | 79.77         | 0.01047      | 0.01181     | 0.02264        | 0.8448                 | 0.007529     | 932.71  | -22518.0007756 |
| ALPHAUSDT    | 0.0007611     | 0.0009905   | 95.02         | 0.01804      | 0.01985     | 0.13           | 0.7071                 | 0.01461      | 892.71  | -22518.0007611 |
| MKRUSDT      | 0.0007536     | 0.0008962   | 50.18         | 0.00876      | 0.01314     | 0.06668        | 0.689                  | 0.01133      | 994.71  | -22518.0007536 |
| NEARUSDT     | 0.0007482     | 0.001367    | 94.7          | 0.01951      | 0.01885     | 0.06622        | 0.8709                 | 0.008889     | 931.67  | -22518.0007482 |
| ALICEUSDT    | 0.0007317     | 0.001391    | 90.9          | 0.01695      | 0.01817     | 0.04792        | 0.8593                 | 0.009745     | 779.88  | -22518.0007317 |
| OPUSDT       | 0.0006893     | 0.0009764   | 76.07         | 0.01647      | 0.01291     | 0.02468        | 0.9813                 | 0.0009313    | 321.42  | -22518.0006893 |
| DASHUSDT     | 0.0006695     | 0.0007893   | 93.32         | 0.01692      | 0.01935     | 0.08175        | 0.6554                 | 0.01308      | 1185.67 | -22518.0006695 |
| BALUSDT      | 0.00066       | 0.0007748   | 94.55         | 0.01897      | 0.01782     | 0.09734        | 0.8538                 | 0.006049     | 975.71  | -22518.00066   |
| KLAYUSDT     | 0.0006554     | 0.0005425   | 86.07         | 0.01486      | 0.01612     | 0.05539        | 0.9275                 | 0.004684     | 569.88  | -22518.0006554 |
| BELUSDT      | 0.0006432     | 0.0008471   | 65.97         | 0.01287      | 0.01827     | 0.1156         | 0.5668                 | 0.01663      | 897.71  | -22518.0006432 |
| OMGUSDT      | 0.0006246     | 0.0008496   | 92.08         | 0.01418      | 0.01403     | 0.1492         | 0.6841                 | 0.01107      | 1036.62 | -22518.0006246 |
| DENTUSDT     | 0.0006197     | 0.0007586   | 87.03         | 0.01328      | 0.012       | 0.0516         | 0.8599                 | 0.006521     | 770.83  | -22518.0006197 |
| LINKUSDT     | 0.0006197     | 0.001052    | 65.82         | 0.01452      | 0.01444     | 0.1055         | 0.8419                 | 0.008807     | 1203.67 | -22518.0006197 |
| BAKEUSDT     | 0.0006168     | 0.0008346   | 83.23         | 0.01468      | 0.01662     | 0.0558         | 0.9087                 | 0.005064     | 715.71  | -22518.0006168 |
| GMTUSDT      | 0.0006137     | 0.001063    | 86.5          | 0.01268      | 0.01186     | 0.08688        | 0.9397                 | 0.002582     | 415.83  | -22518.0006137 |
| BATUSDT      | 0.0005954     | 0.0008247   | 74.72         | 0.0167       | 0.01739     | 0.07849        | 0.6616                 | 0.01005      | 1176.67 | -22518.0005954 |
| GTCUSDT      | 0.0005872     | 0.0008515   | 62.25         | 0.01449      | 0.01696     | 0.08974        | 0.729                  | 0.01225      | 692.88  | -22518.0005872 |
| MANAUSDT     | 0.0005798     | 0.001325    | 33.7          | 0.006679     | 0.008832    | 0.07095        | 0.8373                 | 0.007527     | 780.71  | -22518.0005798 |
| DOGEUSDT     | 0.0005661     | 0.001196    | 61.15         | 0.01029      | 0.01341     | 0.005402       | 0.9029                 | 0.003235     | 1028.62 | -22518.0005661 |
| SNXUSDT      | 0.0005585     | 0.0006773   | 76.28         | 0.01947      | 0.01656     | 0.01312        | 0.9308                 | 0.002901     | 993.71  | -22518.0005585 |
| LTCUSDT      | 0.0005563     | 0.0006111   | 78.42         | 0.01216      | 0.01095     | 0.07929        | 0.878                  | 0.004962     | 1210.67 | -22518.0005563 |
| PEOPLEUSDT   | 0.0005392     | 0.001128    | 75.35         | 0.01429      | 0.01436     | 0.1483         | 0.8701                 | 0.005592     | 496.83  | -22518.0005392 |
| XRPUSDT      | 0.0005379     | 0.0009341   | 85.98         | 0.008833     | 0.01047     | 0.1434         | 0.8244                 | 0.00692      | 1213.67 | -22518.0005379 |
| ADAUSDT      | 0.0005258     | 0.0007779   | 56.3          | 0.009299     | 0.008687    | 0.02514        | 0.8623                 | 0.004804     | 1189.67 | -22518.0005258 |
| LPTUSDT      | 0.0005251     | 0.0006986   | 87.23         | 0.01823      | 0.0199      | 4.394e-05      | 0.8845                 | 0.006254     | 539.88  | -22518.0005251 |
| FTMUSDT      | 0.0005087     | 0.00107     | 52.32         | 0.008204     | 0.007836    | 0.1279         | 0.8859                 | 0.00343      | 952.71  | -22518.0005087 |
| DOTUSDT      | 0.0004997     | 0.001009    | 69.67         | 0.01185      | 0.01028     | 0.02849        | 0.9321                 | 0.00324      | 985.71  | -22518.0004997 |
| EGLDUSDT     | 0.0004988     | 0.0009248   | 68.08         | 0.009644     | 0.009122    | 0.05732        | 0.8952                 | 0.004799     | 961.71  | -22518.0004988 |
| ARUSDT       | 0.0004955     | 0.000699    | 77.63         | 0.01726      | 0.01988     | 0.1382         | 0.7939                 | 0.01083      | 583.88  | -22518.0004955 |
| MATICUSDT    | 0.0004936     | 0.001024    | 73.67         | 0.01242      | 0.01164     | 0.1013         | 0.8387                 | 0.005233     | 924.71  | -22518.0004936 |
| IOTXUSDT     | 0.0004831     | 0.0008787   | 91.83         | 0.01097      | 0.01484     | 0.005105       | 0.8708                 | 0.006919     | 630.88  | -22518.0004831 |
| CHZUSDT      | 0.0004613     | 0.0008798   | 84.0          | 0.01696      | 0.01593     | 0.08998        | 0.6969                 | 0.01069      | 833.71  | -22518.0004613 |
| VETUSDT      | 0.0004477     | 0.0009594   | 85.48         | 0.01301      | 0.01306     | 0.07705        | 0.88                   | 0.005607     | 1175.67 | -22518.0004477 |
| KNCUSDT      | 0.0004411     | 0.000665    | 85.23         | 0.01611      | 0.01567     | 0.0378         | 0.7683                 | 0.008886     | 1046.67 | -22518.0004411 |
| XLMUSDT      | 0.0004373     | 0.0008469   | 78.38         | 0.008314     | 0.009595    | 0.1076         | 0.8798                 | 0.007696     | 1200.67 | -22518.0004373 |
| BLUEBIRDUSDT | 0.0004315     | 0.0006979   | 89.9          | 0.01117      | 0.01207     | 0.05382        | 0.9676                 | 0.003038     | 167.5   | -22518.0004315 |
| COMPUSDT     | 0.0004285     | 0.0005668   | 73.3          | 0.01643      | 0.0171      | 0.1455         | 0.888                  | 0.006386     | 1038.62 | -22518.0004285 |
| SFPUSDT      | 0.0004181     | 0.0006048   | 69.82         | 0.0149       | 0.0148      | 0.1399         | 0.5876                 | 0.01258      | 799.71  | -22518.0004181 |
| TRXUSDT      | 0.000403      | 0.0007168   | 85.88         | 0.01197      | 0.01356     | 0.1035         | 0.8488                 | 0.006688     | 1205.67 | -22518.000403  |
| ETHUSDT      | 0.0004001     | 0.0005216   | 57.27         | 0.009457     | 0.01369     | 0.145          | 0.8525                 | 0.01013      | 1219.0  | -22518.0004001 |
| STORJUSDT    | 0.0003956     | 0.0007279   | 85.92         | 0.01996      | 0.01993     | 0.01488        | 0.7219                 | 0.009007     | 960.71  | -22518.0003956 |
| RUNEUSDT     | 0.0003857     | 0.001038    | 70.67         | 0.01339      | 0.01117     | 0.1015         | 0.9204                 | 0.003547     | 972.71  | -22518.0003857 |
| BANDUSDT     | 0.0003775     | 0.0004831   | 66.42         | 0.0191       | 0.01596     | 0.03569        | 0.8697                 | 0.00373      | 1009.71 | -22518.0003775 |
| RVNUSDT      | 0.0003719     | 0.0006317   | 90.22         | 0.01512      | 0.0185      | 0.1104         | 0.8484                 | 0.005939     | 800.71  | -22518.0003719 |
| FILUSDT      | 0.000365      | 0.0004039   | 50.07         | 0.008949     | 0.007622    | 0.123          | 0.9793                 | 0.0006213    | 930.75  | -22518.000365  |
| BCHUSDT      | 0.0003453     | 0.0004989   | 95.15         | 0.01351      | 0.01259     | 0.1041         | 0.8256                 | 0.006762     | 1219.0  | -22518.0003453 |
| IOSTUSDT     | 0.0003401     | 0.000619    | 94.32         | 0.01147      | 0.0143      | 0.0967         | 0.7637                 | 0.009012     | 1168.67 | -22518.0003401 |
| LRCUSDT      | 0.000333      | 0.0004995   | 82.6          | 0.01804      | 0.01984     | 0.01168        | 0.8162                 | 0.006975     | 927.71  | -22518.000333  |
| KAVAUSDT     | 0.0003153     | 0.0004899   | 67.72         | 0.0164       | 0.01762     | 0.007871       | 0.8327                 | 0.005672     | 1010.71 | -22518.0003153 |
| MTLUSDT      | 0.000302      | 0.0003821   | 85.67         | 0.01884      | 0.01746     | 0.1114         | 0.7826                 | 0.008954     | 764.71  | -22518.000302  |
| IOTAUSDT     | 0.0002822     | 0.000455    | 73.1          | 0.0144       | 0.01271     | 0.1159         | 0.9438                 | 0.002367     | 1177.67 | -22518.0002822 |
| ETCUSDT      | 0.000246      | 0.0004718   | 88.27         | 0.01294      | 0.01226     | 0.1292         | 0.9666                 | 0.001344     | 1204.67 | -22518.000246  |
| WAVESUSDT    | 0.000193      | 0.000245    | 72.08         | 0.01993      | 0.01907     | 0.04975        | 0.88                   | 0.003385     | 995.71  | -22518.000193  |
| BTCDOMUSDT   | 0.0001074     | 0.0001714   | 90.27         | 0.00411      | 0.004412    | 0.009056       | 0.9701                 | 0.001699     | 682.88  | -22518.0001074 |
| BNBUSDT      | 7.925e-05     | 0.0001707   | 92.4          | 0.01234      | 0.009796    | 0.08738        | 0.9449                 | 0.001604     | 1179.67 | -22518.0000793 |
| AAVEUSDT     | 0.0001212     | 0.0002609   | 91.65         | 0.02665      | 0.02067     | 0.1371         | 0.8455                 | 0.008192     | 930.71  | -22516.6605992 |
| MASKUSDT     | -3.408e-05    | 0.0001741   | 86.3          | 0.0223       | 0.02126     | 0.1345         | 0.9343                 | 0.00294      | 615.88  | -22516.5076218 |
| AVAXUSDT     | 0.0002511     | 0.0007368   | 97.38         | 0.02669      | 0.02306     | 0.09053        | 0.8291                 | 0.009247     | 953.71  | -22500.4342555 |
| CVXUSDT      | 0.00029       | 0.0006794   | 106.4         | 0.02033      | 0.01929     | 0.01638        | 0.9323                 | 0.003959     | 208.5   | -22414.300563  |
| BTCUSDT      | 4.508e-05     | 0.0002063   | 121.0         | 0.01077      | 0.008545    | 0.3441         | 0.9757                 | 0.001605     | 1219.0  | -20326.5486117 |
| GALAUSDT     | -0.002299     | -0.02299    | 13.95         | 0.01004      | 0.03188     | 0.9874         | 0.5855                 | 0.01361      | 593.88  | -14131.9376703 |
| UNFIUSDT     | -0.00518      | -0.01702    | 60.5          | 0.0131       | 0.01008     | 1.018          | 0.8872                 | 0.004757     | 804.71  | -13836.7880558 |
| SOLUSDT      | -0.001425     | -0.01425    | 48.3          | 0.01293      | 0.03032     | 1.105          | 0.6244                 | 0.01293      | 962.71  | -12960.768937  |
| AXSUSDT      | -0.001531     | -0.01531    | 29.58         | 0.01792      | 0.02596     | 1.108          | 0.5392                 | 0.01339      | 895.71  | -12934.1296891 |
| APTUSDT      | 0.0           | 0.0         | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 186.92  | -3040.0        |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

