+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| CHZUSDT      | 0.001555      | 0.003242    | 89.25         | 0.01693      | 0.01591     | 0.114          | 0.7934                 | 0.009294     | 833.71  | -22518.0015552 |
| BANDUSDT     | 0.001544      | 0.002312    | 75.45         | 0.01212      | 0.01335     | 0.06023        | 0.8317                 | 0.008324     | 1009.71 | -22518.0015437 |
| RVNUSDT      | 0.001462      | 0.002435    | 77.0          | 0.008438     | 0.01336     | 0.07364        | 0.8054                 | 0.007813     | 800.71  | -22518.0014625 |
| LINKUSDT     | 0.001427      | 0.002671    | 87.53         | 0.01113      | 0.01285     | 0.1075         | 0.8142                 | 0.009214     | 1203.67 | -22518.0014272 |
| AUDIOUSDT    | 0.001426      | 0.002202    | 87.12         | 0.0158       | 0.01675     | 0.07201        | 0.8684                 | 0.01086      | 623.88  | -22518.0014256 |
| SANDUSDT     | 0.001411      | 0.002189    | 71.25         | 0.007319     | 0.01657     | 0.1455         | 0.7581                 | 0.009572     | 829.71  | -22518.001411  |
| ENSUSDT      | 0.001344      | 0.002278    | 54.23         | 0.01332      | 0.01193     | 0.1366         | 0.8926                 | 0.007995     | 520.88  | -22518.0013439 |
| AVAXUSDT     | 0.001342      | 0.002789    | 81.9          | 0.009318     | 0.01422     | 0.07375        | 0.7525                 | 0.00894      | 953.71  | -22518.0013424 |
| THETAUSDT    | 0.001333      | 0.002414    | 73.55         | 0.009291     | 0.01328     | 0.081          | 0.7645                 | 0.01016      | 1072.67 | -22518.0013326 |
| SUSHIUSDT    | 0.001313      | 0.002631    | 67.7          | 0.01049      | 0.009715    | 0.06338        | 0.863                  | 0.006421     | 972.71  | -22518.001313  |
| MATICUSDT    | 0.001303      | 0.003243    | 90.1          | 0.01035      | 0.013       | 0.1324         | 0.8448                 | 0.007342     | 924.71  | -22518.001303  |
| LITUSDT      | 0.001297      | 0.001826    | 73.87         | 0.01446      | 0.0166      | 0.09727        | 0.845                  | 0.0125       | 805.71  | -22518.0012968 |
| CTKUSDT      | 0.001296      | 0.00304     | 82.42         | 0.01312      | 0.01621     | 0.07572        | 0.7934                 | 0.01099      | 896.71  | -22518.0012964 |
| OMGUSDT      | 0.001284      | 0.002266    | 75.25         | 0.01201      | 0.01639     | 0.06958        | 0.7207                 | 0.01015      | 1036.62 | -22518.001284  |
| YFIUSDT      | 0.001276      | 0.002725    | 69.43         | 0.008707     | 0.01281     | 0.1099         | 0.8193                 | 0.006634     | 976.71  | -22518.0012761 |
| CVXUSDT      | 0.001263      | 0.001667    | 63.65         | 0.01064      | 0.011       | 0.1345         | 0.917                  | 0.008197     | 208.5   | -22518.0012635 |
| NEARUSDT     | 0.001263      | 0.002231    | 64.42         | 0.01311      | 0.01452     | 0.06119        | 0.831                  | 0.009937     | 931.67  | -22518.0012626 |
| HOTUSDT      | 0.001256      | 0.002641    | 67.17         | 0.01276      | 0.01929     | 0.1181         | 0.7664                 | 0.01058      | 764.71  | -22518.0012561 |
| APEUSDT      | 0.001256      | 0.002333    | 62.1          | 0.007971     | 0.01031     | 0.06749        | 0.9158                 | 0.004798     | 413.38  | -22518.0012558 |
| MASKUSDT     | 0.001253      | 0.00141     | 82.4          | 0.01338      | 0.01844     | 0.0636         | 0.7891                 | 0.01181      | 615.88  | -22518.0012533 |
| ATAUSDT      | 0.001224      | 0.001794    | 81.92         | 0.01487      | 0.01878     | 0.07734        | 0.8162                 | 0.0126       | 611.88  | -22518.0012237 |
| LUNA2USDT    | 0.001215      | 0.002006    | 85.1          | 0.01114      | 0.01569     | 0.0125         | 0.906                  | 0.006672     | 220.88  | -22518.0012151 |
| DOTUSDT      | 0.001201      | 0.00256     | 57.32         | 0.008944     | 0.0126      | 0.04334        | 0.7781                 | 0.01063      | 985.71  | -22518.0012012 |
| C98USDT      | 0.001189      | 0.001745    | 88.92         | 0.01638      | 0.01363     | 0.1305         | 0.9343                 | 0.003321     | 618.88  | -22518.0011892 |
| TOMOUSDT     | 0.001186      | 0.001686    | 81.25         | 0.01423      | 0.01478     | 0.1221         | 0.8468                 | 0.006835     | 934.71  | -22518.0011856 |
| REEFUSDT     | 0.001167      | 0.002371    | 72.32         | 0.01033      | 0.01595     | 0.09888        | 0.7388                 | 0.00885      | 801.71  | -22518.0011671 |
| PEOPLEUSDT   | 0.001162      | 0.002405    | 59.3          | 0.00982      | 0.01334     | 0.067          | 0.8672                 | 0.008401     | 496.83  | -22518.0011624 |
| BLUEBIRDUSDT | 0.001162      | 0.001608    | 95.85         | 0.007102     | 0.0111      | 0.1142         | 0.9196                 | 0.01028      | 167.5   | -22518.0011621 |
| ALICEUSDT    | 0.001162      | 0.002586    | 90.42         | 0.01232      | 0.01678     | 0.09428        | 0.7802                 | 0.0112       | 779.88  | -22518.0011618 |
