trade_id,timestamp,pnl,fee_paid,balance,equity,pbr,qty,price,psize,pprice,type,adg
393248,1616357655000.0,0.0,-0.008536096,99.991463904,99.982923904,0.4268412355776364,-122.0,0.34984,-122.0,0.34984,shrt_ientry_full,0.9999624798347034
404369,1616368776000.0,1.3578599999999967,-0.008264524,101.34105937999999,101.34105937999999,0.0,122.0,0.33871,0.0,0.34984,shrt_nclose_full,1.0028504024888452
404372,1616368779000.0,0.0,-0.0012192120000000001,101.339840168,101.330840168,0.06015462418229616,-18.0,0.33867,-18.0,0.33867,shrt_ientry_partial,1.0028287731413315
409260,1616373667000.0,0.0,-0.00106656,101.338773608,101.436553608,0.05262349059628853,16.0,0.3333,16.0,0.3333,long_ientry_full,1.0030157086883336
409288,1616373695000.0,0.009280000000000399,-0.001068416,101.34698519199999,101.430505192,0.0,-16.0,0.33388,0.0,0.3333,long_nclose_full,1.0030028765343688
409372,1616373779000.0,0.0,-0.001064896,101.34592029599999,101.45242029599999,0.05253768463938999,16.0,0.33278,16.0,0.33278,long_ientry_full,1.003047993050012
409372,1616373779000.0,0.1098000000000009,-0.001197252,101.45452304399998,101.45068304399999,0.0,18.0,0.33257,0.0,0.33867,shrt_nclose_full,1.0030443679444068
414982,1616379389000.0,0.008000000000000007,-0.0010664960000000001,101.46145654799999,101.46145654799999,0.0,-16.0,0.33328,0.0,0.33278,long_nclose_full,1.0030253257891877
415178,1616379585000.0,0.0,-0.007900336,101.45355621199998,101.40753621199998,0.38935727316897856,-118.0,0.33476,-118.0,0.33476,shrt_ientry_full,1.0029129438104996
441108,1616405515000.0,0.0,-0.00103329,101.45252292199999,100.31558292199999,0.05092480552674018,15.0,0.34443,15.0,0.34443,long_ientry_full,1.0006173506965972
441110,1616405517000.0,-0.0034500000000001196,-0.0010326,101.44804032199998,100.30698032199999,0.0,-15.0,0.3442,0.0,0.34443,long_nclose_full,1.0006005400850924
455944,1616420351000.0,0.0,-0.00100992,101.44703040199998,101.22828040199998,0.049775730053311144,15.0,0.33664,15.0,0.33664,long_ientry_full,1.0023160534259499
455977,1616420384000.0,-0.02949999999999675,-0.007906236,101.40962416599999,101.38502416599998,0.0,118.0,0.33501,0.0,0.33476,shrt_sclose_full,1.0026097801263352
456430,1616420837000.0,0.027149999999999674,-0.00101535,101.43575881599999,101.43575881599999,0.0,-15.0,0.33845,0.0,0.33664,long_nclose_full,1.002702140561218
456619,1616421026000.0,0.0,-0.0010100100000000002,101.43474880599999,101.43249880599998,0.049786193187686824,15.0,0.33667,15.0,0.33667,long_ientry_full,1.0026949229227897
456754,1616421161000.0,0.03104999999999941,-0.0010162200000000002,101.46478258599998,101.46478258599998,0.0,-15.0,0.33874,0.0,0.33667,long_nclose_full,1.002754485585172
458413,1616422820000.0,0.0,-0.00101052,101.46377206599999,101.45912206599999,0.04979708419191623,15.0,0.33684,15.0,0.33684,long_ientry_full,1.0027339595959976
463211,1616427618000.0,0.019050000000000733,-0.0010143300000000001,101.481807736,101.481807736,0.0,-15.0,0.33811,0.0,0.33684,long_nclose_full,1.0027474173446145
464353,1616428760000.0,0.0,-0.0010083000000000002,101.480799436,101.480349436,0.049679348487784415,15.0,0.3361,15.0,0.3361,long_ientry_full,1.002737970157635
464411,1616428818000.0,0.025200000000000222,-0.00101334,101.504986096,101.504986096,0.0,-15.0,0.33778,0.0,0.3361,long_nclose_full,1.0027829128670722
464743,1616429150000.0,0.0,-0.00100542,101.503980676,101.501880676,0.04952613647780443,15.0,0.33514,15.0,0.33514,long_ientry_full,1.0027752185156762
465134,1616429541000.0,0.03915000000000002,-0.00101325,101.542117426,101.542117426,0.0,-15.0,0.33775,0.0,0.33514,long_nclose_full,1.0028467096818394
465542,1616429949000.0,0.0,-0.00100434,101.54111308600001,101.54036308600001,0.049454844913378905,15.0,0.33478,15.0,0.33478,long_ientry_full,1.0028409957097777
467669,1616432076000.0,0.03089999999999926,-0.00101052,101.571002566,101.571002566,0.0,-15.0,0.33684,0.0,0.33478,long_nclose_full,1.0028839536654401
467928,1616432335000.0,0.0,-0.00100596,101.569996606,101.569096606,0.04952052936962367,15.0,0.33532,15.0,0.33532,long_ientry_full,1.0028788802693416
470561,1616434968000.0,0.032999999999999696,-0.00101256,101.601984046,101.601984046,0.0,-15.0,0.33752,0.0,0.33532,long_nclose_full,1.0029223628996147
471183,1616435590000.0,0.0,-0.00100209,101.600981956,101.600831956,0.04931497613054427,15.0,0.33403,15.0,0.33403,long_ientry_full,1.0029164141824074
475537,1616439944000.0,0.0,-0.0032550000000000005,101.597726956,101.460676956,0.20950714782446184,50.0,0.3255,65.0,0.3274684615384616,long_rentry_full,1.0026381723648152
499333,1616463740000.0,0.1645499999999972,-0.00429,101.757986956,101.757986956,0.0,-65.0,0.33,0.0,0.3274684615384616,long_nclose_full,1.0030199818298886
500496,1616464903000.0,0.0,-0.0010433920000000002,101.756943564,101.742223564,0.051268835494442645,16.0,0.32606,16.0,0.32606,long_ientry_full,1.002986129435256
503548,1616467955000.0,0.0,-0.003417012,101.753526552,101.589706552,0.21917687529584348,54.0,0.31639,70.0,0.3186002857142857,long_rentry_full,1.0027098687339802
542548,1616506955000.0,0.39408000000000054,-0.00453922,102.143067332,102.143067332,0.0,-70.0,0.32423,0.0,0.3186002857142857,long_nclose_full,1.0033824568576253
542572,1616506979000.0,0.0,-0.008324864,102.134742468,102.112982468,0.4075432021874572,-128.0,0.32519,-128.0,0.32519,shrt_ientry_full,1.0033352400703879
