trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
652187,1806.55,buy,long,entry,1193561.0,0.0,0.16517132102626553,1193561.0,1806.55,0.0,,,120.4640637169532,20.482350051968602,0.0,18.841678056817795,1.640671995150809,120.4823500519686,1569.7503975524849,1615341803887.0,0.1744399928639194,0.000151799088052979,1.204640637169532,5.778389780092593,1.032744966054703,0.0,0.0,0.0
682755,1818.1,sel,long,close,-1193561.0,4.19719214092367,0.16412202299103462,0.0,,0.0,,0.13662217223414747,124.8436642158833,24.843664215883308,0.0,23.038870197741467,1.8047940181418438,124.8436642158833,,1615363995657.0,0.18261599407502033,0.0,1.2484366421588329,6.035238969907407,1.0374503126756158,0.0,0.0,0.0
751725,1808.3,buy,long,entry,1239664.0,0.0,0.17138527899131784,1239664.0,1808.3,0.0,,,124.97713659165791,25.015049494874624,0.0,23.038870197741467,1.9761792971331618,125.01504949487462,1571.2710140932495,1615408435233.0,0.2010633509033909,0.00030335871224655497,1.249771365916579,6.549585914351852,1.0346280007381883,0.0,0.0,0.0
767286,1819.9,sel,long,close,-1239664.0,4.369623026098824,0.1702928732347931,0.0,,0.0,,0.13664055930478888,129.55496539420824,29.554965394208242,0.0,27.408493223840292,2.146472170367955,129.55496539420824,,1615413481341.0,0.20522544050185798,0.0,1.2955496539420823,6.607989942129629,1.0399630104486444,0.0,0.0,0.0
778298,1797.2,buy,long,entry,1278550.0,0.0,0.1778530491876252,1278550.0,1797.2,0.0,,,129.71302565490436,29.732818443395868,0.0,27.408493223840292,2.3243252195555804,129.73281844339587,1561.6261224199427,1615419063251.0,0.2081708123069039,0.00015258905874397207,1.2971302565490435,6.672595381944444,1.0397585021037827,0.0,0.0,0.0
780545,1808.7,sel,long,close,-1278550.0,4.523271002726078,0.17672223143694366,0.0,,0.0,,0.13662688463306555,134.4328116775589,34.43281167755889,0.0,31.931764226566372,2.501047450992524,134.4328116775589,,1615419944957.0,0.20877181579818052,0.0,1.344328116775589,6.6828003125,1.0452718546839466,0.0,0.0,0.0
781474,1795.65,buy,long,entry,1325544.0,0.0,0.18454932754155878,1325544.0,1795.65,0.0,,,134.59680527692697,34.61736100510045,0.0,31.931764226566372,2.685596778534083,134.61736100510046,1560.2792553153236,1615420516403.0,0.2090202947672041,0.00015272077321002277,1.3459680527692697,6.689414270833334,1.0454166065879014,0.0,0.0,0.0
787088,1807.15,sel,long,close,-1325544.0,4.697600678920881,0.18337492737182856,0.0,,0.0,,0.1366316648321583,139.49833661139317,39.49833661139316,0.0,36.62936490548725,2.868971705905911,139.49833661139317,,1615422520457.0,0.21052186735288586,0.0,1.3949833661139317,6.712609340277778,1.0508408201462496,0.0,0.0,0.0
788202,1791.55,buy,long,entry,1372351.0,0.0,0.19150330719209624,1372351.0,1791.55,0.0,,,139.66846081647063,39.68983991858525,0.0,36.62936490548725,3.0604750130980074,139.68983991858528,1556.716712826006,1615423270427.0,0.21081982814028336,0.00015307036384358425,1.3966846081647062,6.721289548611111,1.0509640809400345,0.0,0.0,0.0
802444,1803.0,sel,long,close,-1372351.0,4.864587614752073,0.19028716028840822,0.0,,0.0,,0.1366203306475106,144.74471469362575,44.74471469362573,0.0,41.493952520239326,3.250762173386416,144.74471469362575,,1615431486385.0,0.21462912574720888,0.0,1.4474471469362575,6.816381655092592,1.055750475127989,0.0,0.0,0.0
