,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pbr
0,3,1619827204000.0,0.0,-0.0014339160000000001,99.998566084,99.996186084,0.017,421.74,0.017,421.74,long_ientry,0.07169682807228922
1,9669,1619836870000.0,0.028560000000000117,-0.001439628,100.025686456,100.025686456,-0.017,423.42,0.0,421.74,long_nclose,0.0
2,9670,1619836871000.0,0.0,-0.001440342,100.02424611400001,100.021186114,0.017,423.63,0.017,423.63,long_ientry,0.07199964288450662
3,12185,1619839386000.0,0.028729999999999964,-0.001446088,100.05153002600001,100.05153002600001,-0.017,425.32,0.0,423.63,long_nclose,0.0
4,12186,1619839387000.0,0.0,-0.0014461220000000002,100.050083904,100.049573904,0.017,425.33,0.017,425.33,long_ientry,0.07226990441045418
5,14556,1619841757000.0,0.028729999999999964,-0.001451868,100.07736203600001,100.07736203600001,-0.017,427.02,0.0,425.33,long_nclose,0.0
6,14570,1619841771000.0,0.0,-0.0014562540000000001,100.075905782,100.075225782,0.017,428.31,0.017,428.31,long_ientry,0.07275747287125363
7,14970,1619842171000.0,0.029069999999999655,-0.0014620680000000002,100.103513714,100.103513714,-0.017,430.02,0.0,428.31,long_nclose,0.0
8,14971,1619842172000.0,0.0,-0.0014622720000000001,100.102051442,100.101541442,0.017,430.08,0.017,430.08,long_ientry,0.07303906258341035
9,15159,1619842360000.0,0.02907000000000062,-0.0014680860000000002,100.129653356,100.129653356,-0.017,431.79,0.0,430.08,long_nclose,0.0
10,15160,1619842361000.0,0.0,-0.0014681880000000003,100.128185168,100.12699516800001,0.017,431.82,0.017,431.82,long_ientry,0.0733154205050557
11,15359,1619842560000.0,0.029240000000000467,-0.0014740360000000004,100.155951132,100.155951132,-0.017,433.54,0.0,431.82,long_nclose,0.0
12,15360,1619842561000.0,0.0,-0.0014741380000000003,100.15447699399999,100.14971699399999,0.017,433.57,0.017,433.57,long_ientry,0.073593215413042
13,32675,1619859876000.0,0.0,-0.0014161000000000002,100.15306089399999,99.859470894,0.017,416.5,0.034,425.03499999999997,long_primary_rentry,0.14429104683375432
14,38272,1619865473000.0,0.0203400000000006,-0.0010241520000000002,100.172376742,100.210986742,-0.012,426.73,0.022,425.03499999999997,long_nclose,0.09334679184146216
15,38381,1619865582000.0,0.04455000000000075,-0.0018790640000000002,100.215047678,100.215047678,-0.022,427.06,0.0,425.03499999999997,long_nclose,0.0
16,38383,1619865584000.0,0.0,-0.001452276,100.21359540200001,100.21257540200001,0.017,427.14,0.017,427.14,long_ientry,0.07245903084178817
