trade_id,side,type,price,qty,pos_price,pos_size,liq_price,pnl,fee_paid,pnl_plus_fee,fee_paid_cumsum,apparent_balance,actual_balance,profit_cumsum,loss_cumsum,pnl_plus_fees_cumsum,average_daily_gain,timestamp,closest_long_liq,closest_shrt_liq,closest_liq,avg_gain_per_tick,millis_since_prev_trade,progress,reentry_price
5566,long,entry,1377.2,37974.0,1377.2,37974.0,494.23966987904856,0.0,0.006893334301481266,0.006893334301481266,0.006893334301481266,19.702715973714785,50.00689333430148,0.0,0.0,0.006893334301481266,1.0046245242620817,1612245830115.0,1.0,1.0,1.0,1.0001378666860297,0.0,0.0010810376174288279,1362.0
5942,long,close,1377.95,-37974.0,1377.2,0.0,0.0,0.015007803551976376,0.006889582350593272,0.02189738590256965,0.01378291665207454,19.711343543760396,50.02879072020405,0.015007803551976376,0.0,0.028790720204050914,1.0181900296350943,1612246007619.0,0.6400293737224702,1.0,0.6400293737224702,1.0002878657686902,177504.0,0.001154064951987441,
12043,shrt,entry,1423.55,-39275.0,1423.55,-39275.0,0.0,0.0,0.006897369252924028,0.006897369252924028,0.02068028590499857,19.71406110724605,50.035688089456976,0.015007803551976376,0.0,0.03568808945697494,1.0223985093648769,1612246031570.0,1.0,1.0,1.0,1.0002378640126053,23951.0,0.0023390111438547205,1439.0
12091,shrt,close,1422.8,39275.0,1423.55,0.0,0.0,0.014543230080666249,0.006901005060444195,0.021444235141110442,0.027581290965442762,19.722510135891646,50.057132324598086,0.029551033632642623,0.0,0.057132324598085385,1.0358368797980857,1612246050884.0,1.0,1.0,1.0,1.0002855393006695,19314.0,0.0023483337823090116,
12229,shrt,entry,1424.25,-39316.0,1424.25,-39316.0,0.0,0.0,0.006901176057574162,0.006901176057574162,0.034482467023016924,19.725229199258333,50.06403350065566,0.029551033632642623,0.0,0.06403350065565955,1.0387821009491083,1612246154809.0,1.0,1.0,1.0,1.0002560028940992,103925.0,0.002375136367865098,1440.0
12427,shrt,close,1423.5,39316.0,1424.25,0.0,0.0,0.014544101280450264,0.0069048120828942745,0.02144891336334454,0.041387279105911196,19.733680071123487,50.085482414019005,0.04409513491309289,0.0,0.08548241401900408,1.050778433066892,1612246228262.0,1.0,1.0,1.0,1.000284738612901,73453.0,0.0024135922514890488,
18664,shrt,entry,1438.65,-39736.0,1438.65,-39736.0,0.0,0.0,0.006905084627949813,0.006905084627949813,0.04829236373386101,19.736400674466903,50.09238749864696,0.04409513491309289,0.0,0.09238749864695389,1.0247823797293805,1612249763957.0,1.0,1.0,1.0,1.0002637554892067,3535695.0,0.0036249525856434863,1454.5
18792,shrt,close,1437.9,39736.0,1438.65,0.0,0.0,0.014406602603695452,0.006908686278600737,0.02131528888229619,0.05520105001246175,19.744798898286525,50.11370278752925,0.05850173751678834,0.0,0.11370278752925009,1.0303400089908923,1612249814750.0,1.0,1.0,1.0,1.0002839745630316,50793.0,0.003649812954854929,
24366,shrt,entry,1444.95,-39933.0,1444.95,-39933.0,0.0,0.0,0.0069090625973217065,0.0069090625973217065,0.062110112609783455,19.74752106894987,50.12061185012657,0.05850173751678834,0.0,0.1206118501265718,1.022800367484327,1612252482224.0,1.0,1.0,1.0,1.0002677394168291,2667474.0,0.004732404345359472,1460.5
26968,shrt,reentry,1460.5,-71120.0,1454.9084522705375,-111053.0,3948.3884903416074,0.0,0.012173913043478262,0.012173913043478262,0.07428402565326171,19.752317590689,50.13278576317005,0.05850173751678834,0.0,0.13278576317005006,1.0243906372708853,1612252757677.0,1.0,1.0,1.0,1.0002652546820676,275453.0,0.005237769038235831,1495.0
28666,shrt,close,1454.15,18509.0,1454.9084522705375,-92544.0,6142.251684513722,0.006635388208466236,0.00318209950830382,0.009817487716770056,0.07746612516156554,19.756185680849406,50.142603250886815,0.06513712572525457,0.0,0.1426032508868201,1.025749129864572,1612252927440.0,1.0,1.0,1.0,1.0002589431197069,169763.0,0.005567557373556375,1488.5
28675,shrt,close,1454.15,92544.0,1454.9084522705375,0.0,0.0,0.033176582547101374,0.015910325619777874,0.049086908166879245,0.0933764507813434,19.775525922667157,50.19169015905369,0.09831370827235594,0.0,0.19169015905369935,1.0347476606805728,1612252927459.0,1.0,1.0,1.0,1.0003189235858962,19.0,0.0055693053682665545,
46994,long,entry,1422.1,39362.0,1422.1,39362.0,510.3499061698839,0.0,0.006919696223894241,0.006919696223894241,0.10029614700523765,19.77825228297937,50.19860985527759,0.09831370827235594,0.0,0.1986098552775936,1.0186972837806796,1612261738440.0,1.0,1.0,1.0,1.000304994867646,8810981.0,0.009127251490019824,1406.5
47036,long,close,1422.85,-39362.0,1422.1,0.0,0.0,0.014589794195932487,0.006916048775345259,0.021505842971277746,0.1072121957805829,19.786725585110055,50.22011569824887,0.11290350246828842,0.0,0.22011569824887134,1.0207338914884332,1612261742270.0,0.6408894865637801,1.0,0.6408894865637801,1.0003138100942872,3830.0,0.00913540879866733,
47082,long,entry,1421.75,39375.0,1421.75,39375.0,510.2276787750092,0.0,0.0069236855987339545,0.0069236855987339545,0.11413588137931685,19.789453517235955,50.227039383847604,0.11290350246828842,0.0,0.2270393838476053,1.0213825764901696,1612261749913.0,1.0,1.0,1.0,1.000302079577059,7643.0,0.00914434299385269,1406.0
47107,long,close,1422.5,-39375.0,1421.75,0.0,0.0,0.01460179739627468,0.006920035149384886,0.021521832545659564,0.12105591652870173,19.797933119258946,50.24856121639326,0.1275052998645631,0.0,0.24856121639326487,1.0234216292027822,1612261754884.0,0.6409754925412453,1.0,0.6409754925412453,1.0003099798207895,4971.0,0.009149198534714301,
48044,long,entry,1419.0,39321.0,1419.0,39321.0,509.23994445758825,0.0,0.006927589852008457,0.006927589852008457,0.12798350638071018,19.80066258966064,50.255488806245275,0.1275052998645631,0.0,0.2554888062452733,1.023703804374012,1612262045530.0,1.0,1.0,1.0,1.000299854683955,290646.0,0.00933118420620744,1403.5
48356,long,close,1419.75,-39321.0,1419.0,0.0,0.0,0.014638330379310107,0.0069239302694136294,0.021562260648723738,0.1349074366501238,19.809158120356237,50.277051066894,0.14214363024387322,0.0,0.27705106689399706,1.025660518079963,1612262091625.0,0.6400876779577438,1.0,0.6400876779577438,1.0003070319220453,46095.0,0.009391781356160332,
50629,long,entry,1413.3,39185.0,1413.3,39185.0,507.192220764671,0.0,0.0069314724403877455,0.0069314724403877455,0.14183890909051156,19.81188912049775,50.28398253933439,0.14214363024387322,0.0,0.2839825393343848,1.0242691010788123,1612263655087.0,1.0,1.0,1.0,1.000298127714573,1563462.0,0.009833247131297903,1398.0
