trade_id,timestamp,pnl,fee_paid,balance,equity,pbr,qty,price,psize,pprice,type,adg
183432,1604372232000.0,0.0,-1.4913019811946822e-06,0.09999850869801881,0.09999823068995407,0.07456621106711704,1.0,13411.1,1.0,13411.1,long_ientry_full,0.9999916661703876
207908,1604396708000.0,9.322764927466369e-05,-1.4726564513397494e-06,0.10009026369084213,0.10009026369084213,0.0,-1.0,13580.9,0.0,13411.1,long_nclose_full,1.0003750085049525
255994,1604444794000.0,0.0,-1.4355646793666288e-06,0.10008882812616277,0.10008790086528874,0.07171453129399658,-1.0,13931.8,-1.0,13931.8,shrt_ientry_full,1.0002965860341182
287132,1604475932000.0,0.00011080634077618464,-1.457725947521866e-06,0.10019817674099143,0.10019817674099143,0.0,1.0,13720.0,0.0,13931.8,shrt_nclose_full,1.0005959148628416
287737,1604476537000.0,0.0,-1.4755573918047542e-06,0.10019670118359963,0.10019457773473575,0.07363303254370393,1.0,13554.2,1.0,13554.2,long_ientry_full,1.0005838694485814
289737,1604478537000.0,7.094336931765145e-05,-1.4613687179412237e-06,0.10026618318419935,0.10026618318419935,0.0,-1.0,13685.8,0.0,13554.2,long_nclose_full,1.0007930218904455
317908,1604506708000.0,0.0,-1.4240145819093188e-06,0.10026475916961744,0.1002643029399088,0.07101271641715708,-1.0,14044.8,-1.0,14044.8,shrt_ientry_full,1.0007176236906445
390202,1604579002000.0,0.0,-2.7071292248135464e-06,0.10026205204039262,0.09992037823164329,0.20589949993516982,-2.0,14775.8,-3.0,14532.133333333331,shrt_rentry_full,0.9998236438025901
577521,1604766321000.0,0.0,-1.3165776879579223e-06,0.10026073546270467,0.09940103765691666,0.06565769151213076,1.0,15190.9,1.0,15190.9,long_ientry_full,0.9991016321168293
577814,1604766614000.0,2.6930057013424568e-05,-1.3111916765552374e-06,0.10028635432804153,0.09930890484157721,0.0,-1.0,15253.3,0.0,15190.9,long_nclose_full,0.9989635618053798
583885,1604772685000.0,0.0,-1.3169591413426398e-06,0.1002850373689002,0.09939890102389562,0.0656607992525437,1.0,15186.5,1.0,15186.5,long_ientry_full,0.9991082415191942
586655,1604775455000.0,0.0,-1.3492363322359546e-06,0.10028368813256797,0.09972081747028043,0.13291317724650853,1.0,14823.2,2.0,15004.85,long_rentry_full,0.999588341827294
588723,1604777523000.0,-0.00024157235057812156,-4.080466805402538e-06,0.10003803531518445,0.09975856178526431,0.0,3.0,14704.2,0.0,14532.133333333331,shrt_nclose_full,0.999645303810761
590925,1604779725000.0,0.0,-2.7772184768345265e-06,0.10003525809670762,0.09946408684293796,0.27194125175913075,2.0,14402.9,4.0,14703.875,long_rentry_full,0.9992146350234722
592679,1604781479000.0,0.0002742147341298147,-5.3858997145473146e-06,0.10030408693112289,0.10030408693112289,0.0,-4.0,14853.6,0.0,14703.875,long_nclose_full,1.0004427194426233
592682,1604781482000.0,0.0,-1.3458225667527995e-06,0.10030274110855614,0.10030106529581442,0.0670880253061198,1.0,14860.8,1.0,14860.8,long_ientry_full,1.0004383236748262
611886,1604800686000.0,9.570166840632406e-05,-1.3266822330715347e-06,0.10039711609472939,0.10039711609472939,0.0,-1.0,15075.2,0.0,14860.8,long_nclose_full,1.0005597851058856
667059,1604855859000.0,0.0,-1.2895737958604682e-06,0.10039582652093353,0.10039578494618721,0.0642244722987354,-1.0,15509.0,-1.0,15509.0,shrt_ientry_full,1.0005117547075315
721168,1604909968000.0,8.735259738521764e-05,-1.3070443153375116e-06,0.1004818720740034,0.1004818720740034,0.0,1.0,15301.7,0.0,15509.0,shrt_nclose_full,1.0005760893440725
733962,1604922762000.0,0.0,-1.2735041102345157e-06,0.10048059856989316,0.10047492728106416,0.06337064708808839,-1.0,15704.7,-1.0,15704.7,shrt_ientry_full,1.0005579035783316
738591,1604927391000.0,0.00011029616548123989,-1.2955633433307639e-06,0.10058959917203107,0.10058959917203107,0.0,1.0,15437.3,0.0,15704.7,shrt_nclose_full,1.0006879213202058
741073,1604929873000.0,0.0,-1.3173408158291671e-06,0.10058828183121524,0.10058719703581892,0.06548182312327562,1.0,15182.1,1.0,15182.1,long_ientry_full,1.000682830427809
741443,1604930243000.0,5.583593084288119e-05,-1.3061736296605909e-06,0.10064281158842846,0.10064281158842846,0.0,-1.0,15311.9,0.0,15182.1,long_nclose_full,1.0007469468399315
745122,1604933922000.0,0.0,-1.3180961419325926e-06,0.10064149349228653,0.10063888639520609,0.06548472683553803,1.0,15173.4,1.0,15173.4,long_ientry_full,1.0007387316655152
758842,1604947642000.0,6.519522842315771e-05,-1.305057096247961e-06,0.10070538366361344,0.10070538366361344,0.0,-1.0,15325.0,0.0,15173.4,long_nclose_full,1.0008006345718135
833109,1605021909000.0,0.0,-1.3209167162010435e-06,0.10070406274689724,0.10070345200308542,0.06558408271575626,1.0,15141.0,1.0,15141.0,long_ientry_full,1.0007272457474206
841626,1605030426000.0,7.571947278276598e-05,-1.3057728216444905e-06,0.10077847644685836,0.10077847644685836,0.0,-1.0,15316.6,0.0,15141.0,long_nclose_full,1.0007963939851616
905493,1605094293000.0,0.0,-1.2732365673542143e-06,0.100777203210291,0.10077708162776132,0.06317086239719123,-1.0,15708.0,-1.0,15708.0,shrt_ientry_full,1.0007388796569796
951190,1605139990000.0,7.699158640373795e-05,-1.288634884634962e-06,0.1008529061618101,0.1008529061618101,0.0,1.0,15520.3,0.0,15708.0,shrt_nclose_full,1.000771737727032
985830,1605174630000.0,0.0,-1.249047601204082e-06,0.10085165711420889,0.10085111111997845,0.061924991464919865,-1.0,16012.2,-1.0,16012.2,shrt_ientry_full,1.0007430493092617
